building_id,zip,energy_star_score,property_type,floor_area_building_SF,floor_area_parking_SF,year_built,total_ghg_emission_MTCO2e,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,water_use_KGAL,total_site_energy_KBTU,log_total_site_energy_KBTU,APN,ANUMBER,ST_NAME,ST_TYPE,ST_POST_DIR,PLAT,PROPERTY_TYPE,MULTIPLE_USES,TAX_EXEMPT,PARCEL_AREA_SQFT,NEIGHBORHOOD,COMMUNITY,WARD,ZONING,LANDUSE,LANDVALUE,BUILDINGVALUE,TOTALVALUE,EXEMPTSTATUS,HOMESTEAD,BUILDINGUSE,YEARBUILT,ABOVEGROUNDAREA,NUM_STORIES,GARAGE_PRESENT,PRIMARYHEATING,CONSTRUCTIONTYPE,EXTERIORTYPE,ROOF,FIREPLACES,BATHROOMS,BEDROOMS,ESRI_OID
13,55409,82,K-12 School,63260,10433,1935,303,58,64,84,91,894,3669080,15.11545151,1.00E+12,3800,Pleasant,Ave,,23310,Commercial,No,Yes,31081,KING FIELD,SOUTHWEST,8,R1A,"INSTITUTIONS:SCHL,COLLEGE",777000,4411000,5188000,Tax Exempt,Not Homesteaded,School,1934,63260,3,Yes,Steam,Concrete,Brick,Flat,0,0,0,47544
14,55402,65,Office,63360,0,1914,752,85,86,189,190,3503,5385600,15.49923928,2.70E+12,84,10TH,St,S,11130,Commercial,No,No,12298,DOWNTOWN WEST,CENTRAL,7,B4-2,OFFICE STRUCTURE,2951500,3068500,6020000,Not Tax Exempt,Not Homesteaded,Store & Office,1912,24520,5,Yes,Hot Water,Concrete,Brick,Flat,0,0,0,16710
15,55408,61,Financial Office,65000,76704,1965,763,107,114,195,203,605,6955000,15.75497138,4.03E+11,1455,Lake,St,W,16670,Commercial,No,No,18987,ECCO,CALHOUN-ISLE,10,C3A,OFFICE STRUCTURE,1139200,2440800,3580000,Not Tax Exempt,Not Homesteaded,Office,1961,45658,3,Yes,Steam,Concrete,Other,Flat,0,0,0,84124
16,55415,55,Office,52069,0,1909,943,121,126,287,295,1660,6300349,15.65611559,2.30E+12,233,Park,Ave,,10264,Commercial,No,No,19152,DOWNTOWN EAST,CENTRAL,3,B4N,OFFICE STRUCTURE,1723700,4243300,5967000,Not Tax Exempt,Not Homesteaded,Store & Office,1906,48882,3,Yes,Steam,Brick & Mill,Brick,Flat,0,0,0,63461
17,55406,0,Supermarket/Grocery Store,65130,0,1989,2711,256,262,653,658,1665,16673280,16.629318,3.60E+12,2850,26TH,Ave,S,20830,Commercial,No,No,104576,LONGFELLOW,LONGFELLOW,9,C3S,RETAIL,1568600,4261400,5830000,Not Tax Exempt,Not Homesteaded,Store / Super Market,1989,64662,2,Yes,Forced Air,Concrete,Concrete,Flat,0,0,0,106586
18,55413,0,Mixed Use Property,65400,91850,1971,303,37,41,76,79,1,2419800,14.69919545,1.80E+12,300,Industrial,Blvd,,2610,Commercial,Yes,No,131100,MID CITY INDUSTRIAL AR,UNIVERSITY,1,I2,"INSTITUTIONS:SCHL,COLLEGE",852200,4647800,5500000,Not Tax Exempt,Not Homesteaded,School,1971,32700,1,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,90946
19,55407,44,Medical Office,61609,0,1986,985,112,114,254,255,842,6900208,15.74706211,1.70E+12,2415,Broadway,,W,7980,Commercial,No,No,4275,WILLARD-HAY,NEAR NORTH,5,C1,RETAIL,25700,84300,110000,Not Tax Exempt,Not Homesteaded,Small Retail Store,1916,1642,1,Yes,Forced Air,Wood Frame,Metal/Vinyl,Shed,0,0,0,3654
20,55407,65,Medical Office,53750,0,1986,648,96,100,196,199,553,5160000,15.45644714,3.50E+12,2800,Chicago,Ave,,31848,Commercial,No,No,57062,PHILLIPS WEST,PHILLIPS,6,OR3,OFFICE STRUCTURE,684000,9326000,10010000,Not Tax Exempt,Not Homesteaded,Medical Office Bldg,1988,27142,5,Yes,Steam,Reinforced Concrete,Brick,Flat,0,0,0,119873
21,55411,93,K-12 School,47000,10000,1969,307,60,65,109,114,94,2820000,14.85224744,1.60E+12,2410,Irving,Ave,N,7240,Commercial,No,Yes,82773,JORDAN,NEAR NORTH,5,R1A,OFFICE STRUCTURE,496600,8296400,8793000,Tax Exempt,Not Homesteaded,Center Neigh/Comm.,1968,27600,1,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,162461
22,55412,0,Other - Education,56963,0,1950,340,79,88,107,117,446,4500077,15.31960507,5.03E+11,4021,Thomas,Ave,N,12175,Commercial,Yes,No,79225,VICTORY,CAMDEN,4,R1A,"INSTITUTIONS:SCHL,COLLEGE",794600,2169900,2964500,Not Tax Exempt,Not Homesteaded,School,1950,42849,2,Yes,Steam,Concrete,Stucco,Flat,0,0,0,134864
23,55413,60,Mixed Use Property,51864,0,1965,362,69,75,118,123,1263,3578616,15.09048669,1.40E+12,1500,6TH,St,NE,1140,Commercial,No,Yes,124850,SHERIDAN,NORTHEAST,3,R1A,"INSTITUTIONS:SCHL,COLLEGE",475800,1819200,2295000,Tax Exempt,Not Homesteaded,School,1968,51864,2,Yes,Steam,Concrete,Brick,Flat,0,0,0,121999
24,55413,87,K-12 School,68337,40000,1950,307,55,61,79,86,637,3758535,15.13953981,1.40E+12,1630,4TH,St,NE,3200,Commercial,No,Yes,74250,SHERIDAN,NORTHEAST,3,R1,GROUP RESIDENCE,816800,7861200,8678000,Tax Exempt,Not Homesteaded,School,1949,41616,2,Yes,Steam,Concrete,Brick,Flat,0,0,0,103109
25,55407,1,Medical Office,56239,50000,2008,2096,182,182,570,570,1034,10235498,16.14137243,3.50E+12,2828,Chicago,Ave,,31848,Commercial,No,No,54544,PHILLIPS WEST,PHILLIPS,6,OR3,OFFICE STRUCTURE,656800,11938200,12595000,Not Tax Exempt,Not Homesteaded,Medical Office Bldg,2007,53628,4,Yes,Forced Air,Steel Frame,Concrete,Flat,0,0,0,17763
26,55430,33,K-12 School,53446,0,1955,453,98,109,148,159,345,5237708,15.47139456,1.11E+12,5000,Oliver,Ave,N,12440,Commercial,No,No,166422,SHINGLE CREEK,CAMDEN,4,R1,"INSTITUTIONS:SCHL,COLLEGE",329600,2090400,2420000,Not Tax Exempt,Not Homesteaded,School,1958,59463,1,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,14537
27,55401,47,Hotel,165010,270000,2001,3186,182,194,324,335,7363,30031820,17.21776804,2.20E+12,300,Washington,Ave,N,7590,Commercial,No,No,18273,NORTHLOOP,CENTRAL,3,B4N,PUBLIC ACCOMMODATIONS,1461800,19883200,21345000,Not Tax Exempt,Not Homesteaded,Hotel,1897,62970,6,Yes,Steam,Brick & Mill,Brick,Flat,0,0,0,165671
28,55419,99,Supermarket/Grocery Store,66903,0,2008,3185,292,297,747,750,2297,19535676,16.78775289,2.20E+12,5937,Nicollet,Ave,,24055,Commercial,No,No,202868,WINDOM,SOUTHWEST,11,C3S,RETAIL,4057400,2062600,6120000,Not Tax Exempt,Not Homesteaded,Store / Super Market,1995,71460,1,Yes,Forced Air,Concrete,Concrete,Flat,0,0,0,109503
29,55404,97,K-12 School,50100,28000,1914,219,53,57,77,81,969,2655300,14.7920682,3.40E+12,2123,Clinton,Ave,,10000,Commercial,No,Yes,51558,WHITTIER,POWDERHORN,10,R4,"INSTITUTIONS:SCHL,COLLEGE",426100,2647400,3073500,Tax Exempt,Not Homesteaded,School,1914,33730,2,Yes,Hot Water,Concrete,Brick,Flat,0,0,0,158622
30,55454,0,Indoor Arena,56000,0,1974,841,80,80,232,232,3,4480000,15.3151336,2.50E+12,2323,Riverside,Ave,,6884,Commercial,No,Yes,59968,CEDAR RSIDE/WEST BANK,UNIVERSITY,2,OR3,"INSTITUTIONS:SCHL,COLLEGE",1079400,5136600,6216000,Tax Exempt,Not Homesteaded,School,1974,50620,1,Yes,N/A,Concrete,Concrete,Flat,0,0,0,136370
31,55403,24,Worship Facility,56400,0,1908,375,65,69,112,117,1618,3666000,15.11461171,2.70E+12,1601,Hennepin,Ave,,11240,Commercial,Yes,No,5760,LORING PARK,CENTRAL,7,C3A,OFFICE STRUCTURE,490000,1244000,1734000,Not Tax Exempt,Not Homesteaded,Store & Office,1916,10318,2,Yes,Forced Air,Brick & Mill,Brick,Flat,0,0,0,115677
33,55418,0,K-12 School,53450,25000,1975,293,52,57,92,97,494,2779400,14.83774564,2.20E+12,720,50TH,St,W,10360,Commercial,No,Yes,260786,DOWNTOWN WEST,CENTRAL,3,C3A,RETAIL,13474900,1000,18150000,NA,Not Homesteaded,Museum and Art Inst.,1929,47345,2,Yes,Forced Air,Reinforced Concrete,Stone,Flat,NA,0,0,18478
34,55415,82,Office,52516,0,1920,643,76,77,193,194,1454,3991216,15.1996065,2.60E+12,921,Washington,Ave,S,10360,Commercial,No,No,50200,DOWNTOWN EAST,CENTRAL,3,B4N,OFFICE STRUCTURE,4016000,1271500,5287500,Not Tax Exempt,Not Homesteaded,Office,1920,38965,3,Yes,Forced Air,Brick & Mill,Brick,Flat,0,0,0,131443
35,55416,0,Office,54000,2200,1953,623,98,103,190,195,5,5292000,15.4817068,3.20E+12,3100,Lake,St,W,8867,Commercial,Yes,No,65898,CEDAR-ISLES-DEAN,CALHOUN-ISLE,7,OR2,OFFICE STRUCTURE,2755900,2764100,5520000,Not Tax Exempt,Not Homesteaded,Office,1953,52825,4,Yes,Steam,Concrete,Brick,Flat,0,0,0,162594
36,55414,0,Hotel,52866,0,1984,597,55,57,173,179,3840,2907630,14.88284887,3.00E+12,2407,University,Ave,SE,2450,Commercial,Yes,No,68926,PROSPECT PK/E RIVER RD,UNIVERSITY,2,C3A,PUBLIC ACCOMMODATIONS,3566300,3133700,6700000,Not Tax Exempt,Not Homesteaded,Hotel,1983,18097,6,Yes,Forced Air,Concrete,Stucco,Flat,0,0,0,63890
37,55406,0,Worship Facility,52920,0,1923,161,35,39,53,56,216,1852200,14.43188468,1.03E+11,2730,31ST,St,E,19720,Commercial,No,Yes,49963,LONGFELLOW,LONGFELLOW,2,R6,"INSTITUTIONS:SCHL,COLLEGE",749400,2025600,2775000,Tax Exempt,Not Homesteaded,Church,1923,35280,2,Yes,Steam,Concrete,Brick,Gable,0,0,0,22130
38,55408,97,Supermarket/Grocery Store,53070,0,1939,1455,176,181,433,438,1725,9340320,16.04985107,3.30E+12,1450,Lake,St,W,16920,Commercial,No,No,63755,EAST ISLES,CALHOUN-ISLE,7,C3S,RETAIL,3825500,602000,4427500,Not Tax Exempt,Not Homesteaded,Store / Super Market,1939,31896,1,Yes,Forced Air,Concrete,Stucco,Flat,0,0,0,109126
39,55403,76,Worship Facility,53048,2000,1916,205,57,63,71,77,124,3023736,14.92200371,2.80E+12,1917,Logan,Ave,S,9660,Commercial,No,Yes,35670,LOWRY HILL,CALHOUN-ISLE,7,R2,"INSTITUTIONS:SCHL,COLLEGE",1426800,3340200,4767000,Tax Exempt,Not Homesteaded,Church,1958,39752,3,Yes,Hot Water,Concrete,Brick,Gable,0,0,0,95935
40,55401,38,Bank Branch,56935,0,1969,768,87,91,213,217,252,4953345,15.41557366,2.20E+12,17,Washington,Ave,N,8690,Commercial,No,No,23175,DOWNTOWN WEST,CENTRAL,3,B4S-2,OFFICE STRUCTURE,2665100,2644900,5310000,Not Tax Exempt,Not Homesteaded,Office,1969,18169,5,Yes,Steam,Concrete,Other,Flat,0,0,0,51275
41,55404,80,Office,58000,31000,2008,741,95,97,206,206,949,5510000,15.52207518,3.50E+12,2400,Park,Ave,,9205,Commercial,No,Yes,96500,PHILLIPS WEST,PHILLIPS,6,OR2,GARAGE OR MISC RESID STRUCTURES,132500,1000,133500,Tax Exempt,Not Homesteaded,Parking Garage/Ramp,2008,639,2,Yes,N/A,Reinforced Concrete,Concrete,Flat,0,0,0,20464
42,55418,73,Bank Branch,48755,73430,1971,471,72,76,156,160,111,3510360,15.07122915,1.20E+12,2329,Central,Ave,NE,5560,Commercial,No,No,90287,WINDOM PARK,NORTHEAST,1,C2,OFFICE STRUCTURE,993200,1602300,2595500,Not Tax Exempt,Not Homesteaded,Bank,1927,37722,2,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,67642
43,55412,0,Other - Services,53970,0,1986,49,5,5,14,14,85,269850,12.50562153,1.21E+12,4652,Lyndale,Ave,N,12227,Industrial,Yes,No,63750,CAMDEN INDUSTRIAL AREA,CAMDEN,4,I2,"MIXED OFFICE,RETAIL,RESIDENTIAL, ETC",318800,1871200,2190000,Not Tax Exempt,Not Homesteaded,Industrial Mini Storage,1988,53970,2,Yes,Forced Air,Concrete,Metal/Vinyl,Flat,0,0,0,98061
44,55413,54,Office,54586,50000,2001,688,135,142,216,223,1172,7369110,15.8128075,1.40E+12,1700,2ND,St,NE,720,Commercial,No,Yes,214466,BOTTINEAU,NORTHEAST,3,OR2,OFFICE STRUCTURE,2359100,10332900,12692000,Tax Exempt,Not Homesteaded,Center Neigh/Comm.,2001,43676,1,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,120231
45,55403,39,Worship Facility,108000,96000,1928,764,79,85,122,129,717,8532000,15.95933436,2.70E+12,333,12TH,St,S,9050,Commercial,No,Yes,75600,LORING PARK,CENTRAL,7,B4S-1,"INSTITUTIONS:SCHL,COLLEGE",3628800,4289700,7918500,Tax Exempt,Not Homesteaded,Church,1926,87051,2,Yes,Steam,Concrete,Stone,Gable,0,0,0,66760
46,55411,18,Worship Facility,54861,30000,1978,439,54,57,127,131,702,2962494,14.90154204,1.70E+12,2415,Broadway,,W,7980,Commercial,No,No,4275,WILLARD-HAY,NEAR NORTH,5,C1,RETAIL,25700,84300,110000,Not Tax Exempt,Not Homesteaded,Small Retail Store,1916,1642,1,Yes,Forced Air,Wood Frame,Metal/Vinyl,Shed,0,0,0,3654
47,55414,0,Parking,240000,240000,1981,186,4,4,12,12,0,960000,13.77468856,2.30E+12,201,2ND,Ave,SE,9005,Commercial,Yes,No,45360,MARCY-HOLMES,UNIVERSITY,3,C2,GARAGE OR MISC RESID STRUCTURES,2054400,2609600,4664000,Not Tax Exempt,Not Homesteaded,Parking Garage/Ramp,1980,55140,9,Yes,N/A,Reinforced Concrete,Concrete,Flat,0,0,0,44901
48,55408,0,Fitness Center/Health Club/Gym,55000,0,1986,1282,193,197,382,385,2297,10615000,16.17777865,3.30E+12,2808,Hennepin,Ave,,16310,Commercial,No,Yes,85077,EAST ISLES,CALHOUN-ISLE,7,C3A,OFFICE STRUCTURE,5104600,8227400,13332000,Tax Exempt,Not Homesteaded,Frat/Soc Club Union,1977,55237,1,Yes,Forced Air,Concrete,Concrete,Flat,0,0,0,48724
49,55401,0,Other - Education,55562,0,2008,716,123,132,216,225,508,6834126,15.73743915,2.30E+12,501,2ND,St,S,8943,Commercial,No,Yes,22601,DOWNTOWN WEST,CENTRAL,3,C3A,"INSTITUTIONS:SCHL,COLLEGE",2034100,7816400,9850500,Tax Exempt,Not Homesteaded,School,2007,71872,6,Yes,Forced Air,Reinforced Concrete,Other,Flat,0,0,0,98592
50,55403,48,Worship Facility,90000,0,1948,573,66,71,108,114,587,5940000,15.59721969,2.70E+12,1900,Nicollet,Ave,,11020,Commercial,No,Yes,73010,STEVENS SQ/LORING HGTS,CENTRAL,7,OR2,"INSTITUTIONS:SCHL,COLLEGE",1095200,5042800,6138000,Tax Exempt,Not Homesteaded,Church,1914,76119,1,Yes,Steam,Concrete,Stone,Gable,0,0,0,154642
51,55401,78,K-12 School,156000,61000,1922,998,66,72,109,116,4558,10296000,16.14726603,2.30E+12,25,Grove,St,,3060,Commercial,No,Yes,293151,NICOLLET IS/EAST BANK,UNIVERSITY,3,R1A,"INSTITUTIONS:SCHL,COLLEGE",3375200,12267800,15643000,Tax Exempt,Not Homesteaded,School,1958,56775,2,Yes,Hot Water,Concrete,Brick,Flat,0,0,0,129665
52,55454,0,Parking,75000,75000,1945,220,14,14,45,45,0,1050000,13.86430072,2.50E+12,507,23RD,Ave,S,11860,Commercial,Yes,No,189940,CEDAR RSIDE/WEST BANK,UNIVERSITY,2,OR3,"INSTITUTIONS:SCHL,COLLEGE",3418900,45091100,48510000,Not Tax Exempt,Not Homesteaded,Hospital,1963,66258,5,Yes,Steam,Reinforced Concrete,Brick,Flat,0,0,0,12421
53,55401,0,Office,242681,0,1885,2817,61,61,179,179,5638,14803541,16.51037697,2.20E+12,10,5TH,St,S,8740,Commercial,No,No,23938,DOWNTOWN WEST,CENTRAL,3,B4-2,OFFICE STRUCTURE,4428500,10651500,15080000,Not Tax Exempt,Not Homesteaded,Office,1885,251195,12,Yes,Steam,Concrete,Stone,Flat,0,0,0,106853
54,55404,0,Mixed Use Property,231555,3000,1951,2159,79,84,153,157,3015,18292845,16.72202056,3.50E+12,2300,Chicago,Ave,,4500,Commercial,No,Yes,140366,PHILLIPS WEST,PHILLIPS,6,OR3,"MIXED OFFICE,RETAIL,RESIDENTIAL, ETC",1965100,9734900,11700000,Tax Exempt,Not Homesteaded,School,1948,231555,6,Yes,Hot Water,Concrete,Brick,Flat,0,0,0,18739
55,55415,0,Performing Arts,231642,0,2006,5350,119,119,355,354,11923,27565398,17.13207185,2.30E+12,15,1ST,St,S,10725,Condominium,No,No,166650,DOWNTOWN WEST,CENTRAL,3,B4S-1,SINGLE-FAMILY ATTACHED DWELLING,12200,110800,123000,Not Tax Exempt,Homesteaded,Condominium Unit,1965,667,1,Yes,Hot Water,Reinforced Concrete,Brick,Flat,0,1,1,3018
56,55413,0,Parking,67000,67000,1920,161,15,15,46,47,284,1005000,13.8204981,2.70E+12,530,Groveland,St,,8400,Commercial,No,No,50200,DOWNTOWN WEST,CENTRAL,7,B4S-2,GARAGE OR MISC RESID STRUCTURES,5393600,3133700,9499500,NA,Not Homesteaded,Parking Garage/Ramp,1927,163663,5,Yes,Unit Heaters,Reinforced Concrete,Stone,Flat,NA,0,0,164024
57,55401,81,Office,233522,28700,1980,2363,69,72,160,162,2169,16113018,16.59513807,1.70E+12,2415,60TH,St,N,10360,Commercial,Yes,No,4275,WEBBER-CAMDEN,CENTRAL,3,OR2,OFFICE STRUCTURE,1576600,110800,5229000,NA,Not Homesteaded,Office,1906,69160,5,Yes,Steam,Reinforced Concrete,Brick,Shed,NA,0,0,164237
58,55401,86,Office,224808,0,1910,2200,76,79,157,161,1936,17085408,16.65373532,2.20E+12,400,1ST,Ave,N,10360,Commercial,No,No,31594,DOWNTOWN WEST,CENTRAL,3,B4S-1,OFFICE STRUCTURE,3791300,17018700,20810000,Not Tax Exempt,Not Homesteaded,Office,1901,60912,7,Yes,Steam,Brick & Mill,Brick,Flat,0,0,0,5376
59,55415,84,Office,243853,0,1881,2053,89,96,144,151,3817,21702917,16.89295723,2.30E+12,400,4TH,St,S,10360,Commercial,No,No,31086,DOWNTOWN WEST,CENTRAL,3,B4-1,OFFICE STRUCTURE,3264000,3876000,7140000,Not Tax Exempt,Not Homesteaded,Office,1902,56634,12,Yes,Steam,Concrete,Brick,Flat,0,0,0,19166
60,55401,98,Office,251465,0,1885,1496,44,47,96,98,1355,11064460,16.21924873,2.30E+12,15,1ST,St,S,10725,Condominium,No,No,166650,DOWNTOWN WEST,CENTRAL,3,B4S-1,SINGLE-FAMILY ATTACHED DWELLING,12200,110800,123000,Not Tax Exempt,Homesteaded,Condominium Unit,1965,667,1,Yes,Hot Water,Reinforced Concrete,Brick,Flat,0,1,1,3018
61,55408,0,Mixed Use Property,176701,182400,1983,4219,192,196,389,391,9539,33926592,17.33970969,4.03E+11,3027,Hennepin,Ave,,9779,Commercial,No,No,230336,CARAG,CALHOUN-ISLE,10,C3A,RETAIL,13820200,29638200,43458400,Not Tax Exempt,Not Homesteaded,Shopping Center,1916,323875,2,Yes,Forced Air,Concrete,Brick,Flat,0,0,0,5374
62,55402,0,Parking,63583,189200,1999,322,34,36,81,83,16,2161822,14.58646194,2.20E+12,517,Marquette,Ave,,10360,Commercial,No,No,21140,DOWNTOWN WEST,CENTRAL,7,B4-2,GARAGE OR MISC RESID STRUCTURES,4650800,8379200,13030000,Not Tax Exempt,Not Homesteaded,Parking Garage/Ramp,1999,168432,8,Yes,N/A,Reinforced Concrete,Other,Flat,0,0,0,105862
63,55402,47,Office,365574,96546,1984,6796,99,100,287,288,5414,36191826,17.40434385,2.30E+12,15,1ST,St,S,10725,Condominium,No,No,166650,DOWNTOWN WEST,CENTRAL,3,B4S-1,SINGLE-FAMILY ATTACHED DWELLING,12200,110800,123000,Not Tax Exempt,Homesteaded,Condominium Unit,1965,667,1,Yes,Hot Water,Reinforced Concrete,Brick,Flat,0,1,1,3018
64,55403,0,Parking,30000,300998,1983,327,92,99,177,185,83,2760000,14.83074124,2.70E+12,1330,Nicollet Mall,,,10197,Commercial,No,No,48230,LORING PARK,CENTRAL,7,B4S-1,GARAGE OR MISC RESID STRUCTURES,3472600,10597400,14070000,Not Tax Exempt,Not Homesteaded,Parking Garage/Ramp,1979,79422,8,Yes,N/A,Reinforced Concrete,N/A,Gable,0,0,0,8218
65,55402,0,Parking,250000,250000,1968,320,6,6,20,20,0,1500000,14.22097567,2.70E+12,801,Lasalle,Ave,,7247,Commercial,No,No,45331,DOWNTOWN WEST,CENTRAL,7,B4-2,GARAGE OR MISC RESID STRUCTURES,3760200,13349800,17110000,Not Tax Exempt,Not Homesteaded,Parking Garage/Ramp,1969,36405,6,Yes,N/A,Reinforced Concrete,Other,Flat,0,0,0,131341
66,55403,0,Vocational School,225776,250000,1914,2086,81,86,153,158,7404,18287856,16.72174779,2.80E+12,818,Dunwoody,Blvd,,9690,Commercial,No,Yes,559820,LOWRY HILL,CALHOUN-ISLE,7,I1,"INSTITUTIONS:SCHL,COLLEGE",8957100,9251400,18208500,Tax Exempt,Not Homesteaded,School,1917,163818,2,Yes,Steam,Concrete,Brick,Gable,0,0,0,105579
67,55402,18,Hotel,202536,40343,1929,2603,98,99,208,209,11901,19848528,16.80364041,2.70E+12,821,Marquette,Ave,,8800,Commercial,Yes,No,33786,DOWNTOWN WEST,CENTRAL,7,B4-2,PUBLIC ACCOMMODATIONS,7384000,38091000,45475000,Not Tax Exempt,Not Homesteaded,Hotel,1929,194051,32,Yes,Steam,Reinforced Concrete,Stone,Flat,0,0,0,131289
