Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,254065,1345 S. Wabash Condominium Association,1345 S. Wabash Ave.,60605,Near South Side,Multifamily Housing,175500,2015,1,99,1958184.3,6354948.3,,,,47.4,73.1,51.3,76.7,698.5,4,41.8684207,-87.62414,"(41.8684207, -87.62414)"
2016,254063,The Lofts at 1800 Condominium Association,1800 W. Grace Street,60613,North Center,Multifamily Housing,181852,2009,1,96,3744850.8,4021407,,,,42.7,87.9,43.9,89.2,903.9,5,41.9543088,-87.6618,"(41.9543088, -87.6618)"
2016,254062,Prairie Ave Lofts,221 Cullerton St.,60616,Near South Side,Multifamily Housing,171600,1924,1,,4296752.1,4888243.9,,,,53.5,108.5,54.9,109,1051.6,6.1,41.8458598,-87.62921,"(41.8458598, -87.62921)"
2016,254061,6700 Crandon Condominium Association,6700 S. Crandon,60649,South Shore,Multifamily Housing,82000,1928,1,47,1058907.4,8937307.3,,,,121.9,155,134.2,167.9,669.9,8.2,41.7626302,-87.57255,"(41.7626302, -87.57255)"
2016,254060,University Village Lofts,1524 and 1525 S Sangamon Street,60608,Near West Side,Multifamily Housing,252097,2003,2,82,5691417.3,9925626.5,,,,61.9,112.2,65.7,114.6,1576.2,6.3,41.8492976,-87.67088,"(41.8492976, -87.67088)"
2016,254059,Safer Foundation Crossroad Correctional Center,3210 West Arthington,60624,East Garfield Park,Prison/Incarceration,127263,1899,1,,3944910,8264391.6,,,,95.9,165.5,102.3,170.4,1166.1,9.2,41.88081605,-87.72347483,"(41.88081605, -87.72347483)"
2016,254057,HAYMARKET CENTER,932 W WASHINGTON BLVD,60607,Near West Side,Residential Care Facility,150000,1890,1,,8584281.5,6377993.8,,,,99.7,224.3,103.1,225.3,1921,12.8,41.8742951,-87.65018,"(41.8742951, -87.65018)"
2016,254056,The Montrevelle Condominium Assocation,520 N. Halsted St.,60642,West Town,Multifamily Housing,109925,2003,1,20,3865871.1,6003741.5,,,,89.8,167.8,92.4,168.3,1031.4,9.4,41.8998309,-87.65764,"(41.8998309, -87.65764)"
2016,254055,Park Douglas Apartments,1235 S Washtenaw,60608,North Lawndale,Multifamily Housing,67800,2011,1,98,1006647.5,1609951.1,,,,38.6,71.6,40.1,73.2,271.1,4,41.8492976,-87.67088,"(41.8492976, -87.67088)"
2016,254054,2 South Leavitt Condominium Association,2 S. Leavitt St.,60612,NEAR WEST SIDE,Multifamily Housing,55000,2008,1,67,919441.9,2139915.2,,,,55.6,93.3,55.2,92,283.1,5.1,41.88120092,-87.68664215,"(41.88120092, -87.68664215)"
2016,254053,The Churchill Condominium Association,1255 N State Parkway,60610,Near North Side,Multifamily Housing,110000,1923,1,40,2206958.4,5988495.7,,,,74.5,120.2,80.8,124.8,724.9,6.6,41.8842525,-87.63245,"(41.8842525, -87.63245)"
2016,254052,The Martha Washington,2324 W Irving Park Rd,60610,North Center,Multifamily Housing,103162,2005,1,42,2213211.5,7249335.7,,,,91.7,141.1,100.5,149.5,793,7.7,41.946621,-87.70269,"(41.946621, -87.70269)"
2016,254051,8534-New City,1500 N. Clybourn Avenue #C104,60616,Near North Side,Supermarket/Grocery Store,83678,2015,1,86,11727211.2,4769299.6,,,,197.1,499.9,197.1,499.9,2414.9,28.9,41.9038385,-87.63668,"(41.9038385, -87.63668)"
2016,254050,1400 State Parkway Condominium Association,1400 N State Parkway,60610,Near North Side,Multifamily Housing,95000,1962,1,8,2307217.3,11365963.7,,,,143.9,201.9,157.9,213.9,1029,10.8,41.9038385,-87.63668,"(41.9038385, -87.63668)"
2016,254049,"Farcroft Park, LLC",1337 West Fargo,60626,Rogers Park,Multifamily Housing,115362,1928,1,72,2721448.7,4200270.3,,,,60,112.3,62.5,113.9,724.7,6.3,42.01706509,-87.66474749,"(42.01706509, -87.66474749)"
2016,254048,St. Leo Residence,7750 S. Emerald,60620,Auburn Gresham,Multifamily Housing,65632,2006,1,,2453498.2,4348476,,,,103.6,186.9,108.3,189.2,683.2,10.4,41.73979805,-87.65349931,"(41.73979805, -87.65349931)"
2016,254047,St. Sabina Elders Village,1222 W. 79th Street,60620,Auburn Gresham,Multifamily Housing,77400,2000,1,38,2067743,4463305.1,,,,84.4,144.4,91.8,152.3,618.2,8,41.73979805,-87.65349931,"(41.73979805, -87.65349931)"
2016,254046,Ainslie Park Condominium Association,840-846 W. Ainslie St.,60640,Uptown,Multifamily Housing,52760,1923,1,91,1485653,1156815,,,,50.1,111.4,52.4,117.3,335.3,6.4,41.9726457,-87.66491,"(41.9726457, -87.66491)"
2016,254045,Archer Place Condominium Association,2272 S Archer Ave,60616,Armour Square,Multifamily Housing,69770,2007,1,96,2285183.6,776391.9,,,,43.9,114.5,43.9,114.5,462.4,6.6,41.85506096,-87.62719197,"(41.85506096, -87.62719197)"
2016,254043,St. Vincent de Paul,4040 N. Oakley,60618,North Center,Multifamily Housing,84762,2007,1,,1922416,4337077.4,,,,73.8,124.9,79.1,129.1,584.7,6.9,41.94662098,-87.70269173,"(41.94662098, -87.70269173)"
2016,254039,Sheridan Shore Courts Condominium Association,7021-7035 N. Sheridan Rd.,60626,Rogers Park,Multifamily Housing,80078,1920,1,60,534657,5756475.5,,,,78.6,96.4,86.2,103.7,404.3,5,42.0103536,-87.66851,"(42.0103536, -87.66851)"
2016,254038,Porta Coeli Residence,2260 E. 99th Street,60617,South Deering,Multifamily Housing,79039,2015,1,85,776369.9,4267441.7,,,,63.8,87.5,69.2,93.2,369.8,4.7,41.71331308,-87.55546646,"(41.71331308, -87.55546646)"
2016,254037,Willow Square Condo Association (Bldg 1),1728 N Damen Ave,60647,West Town,Multifamily Housing,65000,1928,2,46,2318368.7,784992.6,,,,47.7,124.7,49.6,126.4,469,7.2,41.91317251,-87.6776717,"(41.91317251, -87.6776717)"
2016,254035,Reside by Irving Park,725 West Irving Park Road,60613,Lake View,Multifamily Housing,63000,1923,1,98,949889.2,1360400,,,,36.7,70,36.7,70,247.3,3.9,41.9543088,-87.6618,"(41.9543088, -87.6618)"
2016,254034,Warren Ashland Place,1609 W Warren BLVD,60612,Near West Side,Multifamily Housing,77005,2014,1,96,1612207.5,1279216.8,,,,37.5,83.2,38.7,84.4,365.1,4.7,41.8812009,-87.68664,"(41.8812009, -87.68664)"
2016,254025,Englewood,901 West 63rd St,60621,Englewood,Multifamily Housing,62800,2010,1,58,2387955.8,1961736.8,,,,69.3,152.2,72.3,155.2,544.3,8.7,41.7761103,-87.6399,"(41.7761103, -87.6399)"
2016,254024,Gateway West Loop,11 S Green St,60607,Near West Side,Multifamily Housing,133879,2015,1,28,5462646.1,5755690.8,,,,83.8,173.3,88.4,178.1,1312.6,9.8,41.8742951,-87.65018,"(41.8742951, -87.65018)"
2016,254023,Olympia Lofts Condominium Association,831-43 W. Adams St.,60607,Near West Side,Multifamily Housing,122850,1910,1,80,2475610.7,3719352.8,,,,50.4,95.1,51.2,91.5,653.9,5.3,41.8742951,-87.65018,"(41.8742951, -87.65018)"
2016,254022,220 Walton Condominium,220 E Walton Place,60611,Near North Side,Multifamily Housing,73000,1919,1,,1072981.2,3818695,,,,67,101.1,73.9,108.4,400.6,5.5,41.8957877,-87.62247,"(41.8957877, -87.62247)"
2016,254016,Prete Apartments,"5801 N. Pulaski Rd., Bldg. E",60646,North Park,Residential Care Facility,55866,1991,1,,1757517.8,2970988.2,,,,84.6,154.6,89.1,159.3,481.8,8.6,41.9995854,-87.77148,"(41.9995854, -87.77148)"
2016,254015,Senate Apartments,"5801 N. Pulaski Rd., Bldg. G",60646,North Park,Residential Care Facility,191550,1981,1,,5911634.6,9353602,,,,79.7,148.2,83.4,152.1,1586.5,8.3,41.9995854,-87.77148,"(41.9995854, -87.77148)"
2016,254012,Ellis Street Apartments,4721-4729 S Ellis Street,60615,Kenwood,Multifamily Housing,62352,1922,1,86,381645.8,4884199.8,,,,84.5,101.5,93,110.5,329.8,5.3,41.8022432,-87.60352,"(41.8022432, -87.60352)"
2016,254011,Sheridan Grande Condominium Association,4848 N. Sheridan Rd.,60640,Uptown,Multifamily Housing,77354,2006,1,10,3101818.5,6235052.4,,,,120.7,210.5,127.4,214.2,902.9,11.7,41.9726457,-87.66491,"(41.9726457, -87.66491)"
2016,254010,824 West Superior Condominium Assocation,824 W. Superior St.,60642,West Town,Multifamily Housing,66000,2004,1,46,2132981.1,4143295.9,,,,95.1,167.4,103.2,175.9,613.2,9.3,41.8998309,-87.65764,"(41.8998309, -87.65764)"
2016,254009,Maple Court Apartments,1120-1126 E. 47th Street,60615,Kenwood,Multifamily Housing,50760,1915,1,15,445419.5,6823299.8,,,,143.2,168.7,156.9,183.1,444.5,8.8,41.8202295,-87.61187,"(41.8202295, -87.61187)"
2016,254008,(IL290) - Hyde Park Courtway,4816-4828 S. Dorchester,60615,Kenwood,Multifamily Housing,69540,1920,1,84,437176.1,4548565.9,,,,71.7,88.4,80.4,97.6,322.2,4.6,41.8022432,-87.60352,"(41.8022432, -87.60352)"
2016,254004,(IL508) - 2700 Club Condo,2700 N. Halsted,60614,Lincoln Park,Multifamily Housing,62524,2002,1,86,1707402.3,1689924.7,,,,54.3,114.1,56.8,115.3,404.5,6.5,41.9217371,-87.65392,"(41.9217371, -87.65392)"
2016,254001,(IL287) - The Robey,4434-4444 N. Damen,60625,North Center,Multifamily Housing,53800,2007,1,54,1011310,3091001.5,,,,76.3,119.4,76.3,119.4,350.6,6.5,41.9720897,-87.70256,"(41.9720897, -87.70256)"
2016,253996,(IL695) - The Pierre Condominium,2100 N. Lincoln Park West,60614,Lincoln Park,Multifamily Housing,190335,1916,1,99,1469330,10729087.3,,,,64.1,83.4,69.2,88.8,840.7,4.4,41.9217371,-87.65392,"(41.9217371, -87.65392)"
2016,253995,(IL564) - Acorn Lofts,1017 W. Washington Blvd.,60607,Near West Side,Multifamily Housing,145213,1920,1,85,3416391.2,2842840.9,,,,43.1,94.4,44.9,94.9,780.7,5.4,41.8742951,-87.65018,"(41.8742951, -87.65018)"
2016,253993,(IL192) -2500 Lakeview Association,2500 N. Lakeview,60614,Lincoln Park,Multifamily Housing,208975,1975,1,7,13093993.6,2688325.2,,,,75.5,210.3,80.2,224.6,2556.3,12.2,41.9217371,-87.65392,"(41.9217371, -87.65392)"
2016,253992,(IL036) - Glenmoor Manor,1041-51 W. Glenlake,60660,Edgewater,Multifamily Housing,54816,1969,1,98,699067.6,1629801,,,,42.5,71.3,44.5,73.4,215.4,3.9,41.9908772,-87.66777,"(41.9908772, -87.66777)"
2016,253991,(IL546) - Pac Lofts,1735 N. Paulina,60622,West Town,Multifamily Housing,104905,2006,1,42,3610766.1,4968712.9,,,,81.8,157.8,85.1,157.7,929.5,8.9,41.9134254,-87.67006,"(41.9134254, -87.67006)"
2016,253990,(IL044) - Lincoln Lofts Condo,3151 N. Lincoln Ave/,60657,Lake View,Multifamily Housing,126432,1936,1,88,2935508.1,3124170.2,,,,47.9,98.9,50.4,101.5,707,5.6,41.9398563,-87.65846,"(41.9398563, -87.65846)"
2016,253989,"820 Orleans, L.L.C.",820 N. Orleans St.,60610,Near North Side,Office,154716,1915,1,58,13028223.8,,,,,84.2,264.4,84.2,264.4,2401.4,15.5,41.9038385,-87.63668,"(41.9038385, -87.63668)"
2016,253988,Spectrum Real Estate Prop. (400 W. Erie St.),400 W. Erie St.,60654,Near North Side,Office,74429,1915,1,69,3062454.2,4532662.8,,,,102,193.1,110,201.4,805.2,10.8,41.8915802,-87.63784,"(41.8915802, -87.63784)"
2016,253987,(IL047) - 4900 Marine Drive Condo,4900 N Marine Drive,60640,Uptown,Multifamily Housing,111087,1948,1,84,1512594.2,6762776.8,,,,74.5,106.7,82,114.5,638,5.7,41.9726457,-87.66491,"(41.9726457, -87.66491)"
2016,253986,430 W. Erie LLC,430 W. Erie St.,60654,Near North Side,Office,68862,1915,1,83,2822969.4,2204053.4,,,,73,162.3,76.8,164.4,637.4,9.3,41.8915802,-87.63784,"(41.8915802, -87.63784)"
2016,253984,"311 W. Superior, LLC",311 W. Superior St.,60654,Near North Side,Office,91304,1908,1,77,4325273,2528269.5,,,,75.1,177.8,79.1,180.4,931.5,10.2,41.89158015,-87.63783734,"(41.89158015, -87.63783734)"
2016,253983,Fulton Place Condominium Association,657 W. Fulton St.,60661,NEAR WEST SIDE,Multifamily Housing,164010,2007,1,99,2294740.6,2735008.3,,,,30.7,61.4,32,62.4,568.2,3.5,41.8832102,-87.64337484,"(41.8832102, -87.64337484)"
2016,253982,AMLI Lofts Polk,111 W. Polk St.,60605,Loop,Multifamily Housing,201430,2014,1,77,5861375.9,4837550.6,,,,53.1,116.6,54.4,117.9,1337.3,6.6,41.8684207,-87.62414,"(41.8684207, -87.62414)"
2016,253980,"Bank Note Place Condominium Association, Inc.",120 E. Cullerton St.,60616,NEAR SOUTH SIDE,Multifamily Housing,176000,1902,2,74,3517103.2,7887272.4,,,,64.8,109.8,68,113.1,1067.2,6.1,41.84585979,-87.62921264,"(41.84585979, -87.62921264)"
2016,253973,Klee Plaza at Six Corners Condominium Association,4015 N. Milwaukee Ave,60654,Portage Park,Multifamily Housing,107000,1929,1,96,1816961.7,4055060,,,,54.9,93.1,58.1,95.1,550.3,5.1,41.89158015,-87.63783734,"(41.89158015, -87.63783734)"
2016,253972,Conservancy at North Park Condo Assoc I,3900 W. Bryn Mawr Ave.,60659,North Park,Multifamily Housing,54096,1995,1,95,854398.9,2551148.6,,,,63,99.1,66.3,101.3,293,5.4,41.99047176,-87.70486537,"(41.99047176, -87.70486537)"
2016,253969,Terrace 459 at Parkside of Old Town,459 W Division St,60610,NEAR NORTH SIDE,Multifamily Housing,91252,2016,1,91,2385472.5,3235617.6,,,,61.6,119.3,65,122.8,611.6,6.7,41.90383853,-87.63667998,"(41.90383853, -87.63667998)"
2016,253968,Kilpatrick Renaissance,4655 W. Berteau,60641,Portage Park,Multifamily Housing,79246,2015,1,,3044880.7,2310821.1,,,,67.6,151.3,70,153.8,684,8.6,41.946169,-87.74654251,"(41.946169, -87.74654251)"
2016,253967,Twenty N. State Condominium Association,20 N. State St.,60602,Loop,Retail Store,277896,1932,1,82,7959046.2,10447142.1,,,,66.2,129.4,70.8,134.8,2021.9,7.3,41.8833006,-87.62933043,"(41.8833006, -87.62933043)"
2016,253966,Greenview Place SLF,1501 W. Melrose St.,60657,LAKE VIEW,Senior Care Community,83300,2009,1,37,3884524.5,3733115.2,,,,91.4,193.5,95.9,199.3,914.3,11,41.93985627,-87.65846293,"(41.93985627, -87.65846293)"
2016,253965,230 W Huron,230 W Huron St,60654,NEAR NORTH SIDE,Office,66043,1903,1,87,2858918.2,1413828.2,,,,64.7,158.4,68.2,162.1,602.1,9.1,41.89158015,-87.63783734,"(41.89158015, -87.63783734)"
2016,253964,7150 Cyril Court Apartments,7150 S. Cyril Court,60649,SOUTH SHORE,Multifamily Housing,73354,1929,1,52,1191238.4,6896702.6,,,,110.3,149.7,122.1,162.2,585.9,8,41.76263015,-87.57255287,"(41.76263015, -87.57255287)"
2016,253963,Montclare Senior Residences of Avalon Park Phase II,1210 E. 78th Street,60619,Avalon Park,Multifamily Housing,102573,2015,1,98,1752430.8,3515352.3,,,,51.4,89.6,54.9,93.4,509.7,5,41.74401302,-87.60549928,"(41.74401302, -87.60549928)"
2016,253962,Moser Building Condominium Association,621 S. Plymouth Ct.,60604,Loop,Multifamily Housing,144649,1915,1,97,2427017,2951802,,,,37.2,74.1,39,75.1,604.1,4.2,41.8684207,-87.62414082,"(41.8684207, -87.62414082)"
2016,253961,2545 Fitch Condominiums Association,2545 W. Fitch Ave.,60645,WEST RIDGE,Multifamily Housing,51480,1950,1,90,174936.7,4325718.8,,,,87.4,98.9,92.9,104.3,262,5.1,42.00850734,-87.69466146,"(42.00850734, -87.69466146)"
2016,253959,St. Paul Lofts Condominium Association,2333 W. Saint Paul Ave.,60647,West Town,Multifamily Housing,105718,1950,1,95,2080777.5,1857778.2,,,,37.3,80.3,37.3,78.3,482.2,4.6,41.91338713,-87.68624897,"(41.91338713, -87.68624897)"
2016,253958,Peterson Lofts Condominium Association,523 S. Plymouth Ct.,60605,Loop,Multifamily Housing,82500,1915,1,94,1324354.2,2889729.2,,,,51.1,87.2,55.1,91.4,397.6,4.8,41.8684207,-87.62414082,"(41.8684207, -87.62414082)"
2016,253957,Silver Coast Citadel Condominium Association,7201-09 S Yates Blvd.,60649,SOUTH SHORE,Multifamily Housing,101200,1926,1,5,2294085.5,9098875.8,,,,112.6,165.6,123.4,177,906.1,9,41.76263015,-87.57255287,"(41.76263015, -87.57255287)"
2016,253956,3611 W. Montrose Condominium Association,3611 W. Montrose Ave.,60618,Irving Park,Multifamily Housing,50000,1996,1,94,1084920.5,1168614,,,,45.1,92.7,46.9,94.6,262,5.2,41.94662098,-87.70269173,"(41.94662098, -87.70269173)"
2016,253955,550 W. Fulton CA,550 W. Fulton,60661,NEAR WEST SIDE,Multifamily Housing,63803,1999,1,84,1628745.5,2246529.4,,,,60.7,117.1,63.1,117.4,419.5,6.6,41.8832102,-87.64337484,"(41.8832102, -87.64337484)"
2016,253954,Crilly Court Condominium Association,1717 N. Crilly Ct.,60614,LINCOLN PARK,Multifamily Housing,65211,1891,1,79,1688257.6,2473173,,,,63.8,121.1,65,120,442.5,6.8,41.92173714,-87.65391568,"(41.92173714, -87.65391568)"
2016,253952,Catherine Courts Condominium Association of Chicago (8439-8503 W. Catherine Ave),8439-8503 W. Catherine Ave,60656,OHARE,Multifamily Housing,149754,1960,1,87,2220130.4,8452906.2,,,,71.3,105.8,73.6,106.1,858.2,5.7,41.97098435,-87.80359537,"(41.97098435, -87.80359537)"
2016,253951,18th Street Lofts,1801 S Michigan Avenue,60616,NEAR SOUTH SIDE,Multifamily Housing,67722,1998,1,99,1421091.2,1632879.3,,,,45.1,91.2,46.8,90.7,348.7,5.1,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,253946,"Lakeview Pointe Condominium Association, Inc.",7736-7772 N. Sheridan Rd.,60626,ROGERS PARK,Multifamily Housing,80000,2003,1,97,1419583.1,1876544.7,,,,41.2,80.3,42.9,82.1,361.3,4.5,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2016,253905,Surf II LLC,420 W Surf St,60657,LAKE VIEW,Multifamily Housing,56500,1933,1,90,956035.6,2581005.6,,,,62.6,101.1,67,105.7,313.3,5.5,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2016,253904,Vanguard Lofts Condominium Association,1250 W. Van Buren St.,60607,NEAR WEST SIDE,Multifamily Housing,117100,1927,1,38,3445860.7,5104862.8,,,,73,138.2,76.3,140.2,906.3,7.7,41.87399385,-87.651678,"(41.87399385, -87.651678)"
2016,252333,MORNINGSIDE COURT APARTMENTS,1250 W. MORSE AVE.,60626,ROGERS PARK,Multifamily Housing,137853,1982,1,30,3410512.4,11350507.6,,,,107.1,164.1,114.3,169.6,1231.5,8.9,42.00798772,-87.66357062,"(42.00798772, -87.66357062)"
2016,252328,5630 N Sheridan,5630 N. Sheridan Ave,60660,EDGEWATER,Multifamily Housing,239996,1957,1,66,3529475.2,20952910.8,,,,102,137.8,108.3,144,1763.5,7.3,41.98474511,-87.65522225,"(41.98474511, -87.65522225)"
2016,252326,6200-42 N Hoyne,6200-42 N. Hoyne,60659,WEST RIDGE,Multifamily Housing,165250,1950,1,48,2767234.4,12941196.7,,,,95.1,134.8,101,140.2,1197.4,7.2,41.99047176,-87.70486537,"(41.99047176, -87.70486537)"
2016,252324,Association House of Chicago,1116 N Kedzie Ave,60651,HUMBOLDT PARK,Office,153229,1922,1,87,5189798.7,6164770.9,,,,74.1,148.6,78.2,148.6,1284,8.4,41.90151415,-87.70675593,"(41.90151415, -87.70675593)"
2016,252323,Paul G. Stewart Apartments Phase III,401 E. Bowen,60653,GRAND BOULEVARD,Multifamily Housing,165306,1984,1,29,7832812.4,1885069.8,,,,58.8,160.8,62.7,173.2,1543.9,9.3,41.81932261,-87.61539034,"(41.81932261, -87.61539034)"
2016,252322,Lavergne Court,4938 W. Quincy Street,60644,AUSTIN,Multifamily Housing,144765,1930,6,49,2834657.9,10800884.2,,,,94.2,139.8,102.6,149.4,1096.2,7.6,41.8776794,-87.74812673,"(41.8776794, -87.74812673)"
2016,252320,Newberry Park Apartments,1355 South Blue Island,60608,NEAR WEST SIDE,Multifamily Housing,93000,1994,3,55,2368893.3,5876568.2,,,,88.7,146.3,94.3,152.3,748.8,8.1,41.86418499,-87.65572916,"(41.86418499, -87.65572916)"
