natural_gas_use_kbtu,objectid,address,property_name,opa_number,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electricity_use_kbtu,portfolio_manager_id,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes,x_coord,y_coord
5116133.6,11,428-36 WALNUT ST,Chubb Philadelphia,883300400,19106,1,1925,Office,350577,16682175.6,1211433,Not Available,Not Available,85,64.8,171.6,4175.7,2184.8,,-75.1493149,39.94707161
Not Available,12,1717 ARCH ST,Three Logan Square,883059004,19103,1,1990,Office,1377698,75568157.1,1218039,Not Available,18616928.9,83,77.3,213.1,18111.8,9902.3,,-75.16889212,39.95560272
3354500.1,13,8200 Roosevelt Blvd,07725-Pennypack Circle,882067050,19152,1,2002,Supermarket/Grocery Store,50256,8668957.1,1260373,Not Available,Not Available,66,239.2,611.7,979,1172.3,,-75.04489646,40.06035247
2121400.1,14,1400 E PASSYUNK AVE,07726-10th & Reed,882080101,19145,1,1980,Supermarket/Grocery Store,49210,9049173.3,1260374,Not Available,Not Available,33,227,622.7,777,1116.5,,-75.16214725,39.93208829
3564699.7,15,3200 RED LION RD,07742-Academy,882097600,19114,1,1981,Supermarket/Grocery Store,51487,8971468.4,1260380,Not Available,Not Available,49,243.5,619.8,469,1218.2,,-74.99370151,40.08011326
4838699.9,16,920 RED LION RD,07747-Red Lion,882875620,19115,1,1997,Supermarket/Grocery Store,72048,11123662.5,1260382,Not Available,Not Available,68,221.6,555.3,655,1532.7,,-75.02652434,40.10062433
3542000.1,17,2701 MAGEE AVE,07704-Harbison,882129500,19149,1,1980,Supermarket/Grocery Store,52380,8803795.9,1260705,Not Available,Not Available,69,235.7,598.8,744,1197.7,,-75.06289571,40.03590127
4605500,18,1901 JOHNSTON ST,07715-Oregon & 19th,882351850,19145,1,2003,Supermarket/Grocery Store,49514,8232736.3,1260775,Not Available,Not Available,48,259.3,619.8,1091,1188.7,,-75.18023932,39.91725669
Not Available,19,2301 MARKET ST,PECO MAIN OFFICE BUILDING,883054500,19103,1,1971,Office,897201,66829786.3,1269439,Not Available,2373481.9,72,79.5,244.2,15.8,7821.6,,-75.17851324,39.95476746
Not Available,20,830 SCHUYLKILL AVE,PECO Christian Street Service Center,772607000,19146,1,1951,Office,70644,5343437.7,1273629,Not Available,Not Available,32,75.6,237.5,0.2,612.8,,-75.18930825,39.94340772
1311946.2,21,4000 G ST,PECO G and Luzerne Service Center,777607000,19124,1,1951,Mixed Use Property,22230,1050083.9,1273633,Not Available,Not Available,Not Available,106.3,210.3,0.2,190.1,,-75.11558394,40.01017662
7226833.9,22,200-32 CHESTNUT ST,PA0144ZZ-PHILADELPHIA CUSTOMHOUSE,781049800,19106,1,1973,Office,567710,19519506.1,1297698,0,Not Available,91,47.6,122.7,3360.8,2622.3,,-75.14480796,39.94798636
Not Available,23,901-15 CHESTNUT ST,PA0143ZZ-RN NIX FED BLDG & USPO,781051010,19107,1,1973,Office,405240,9845943.6,1299442,Not Available,5634887.3,95,39.1,95.3,2187.2,1503.3,,-75.155738,39.95061821
545314877.3,24,3401 CIVIC CENTER BLV,The Children's Hospital fo Philadelphia,773000800,19104,9,1974,Other - Specialty Hospital,6800000,516650499.2,1328441,1587245,0.1,Not Available,156.4,323,144456.9,88331.3,,-75.19384675,39.94877958
139271.5,179,2829-59 N 23RD ST,Peirce TM,785735000,19132,1,1909,K-12 School,62000,815365.3,3330861,Not Available,Not Available,85,15.4,43.7,891.8,100.9,,-75.16817157,39.99842611
106910.9,180,2200-26 N 22ND ST,Pratt,785727200,19132,1,1952,K-12 School,59000,538589,3330862,4143312.2,Not Available,64,81.2,101.5,414.4,374.9,,-75.16974028,39.9890274
2793270.5,181,1501-43 DIAMOND ST,Duckrey,784093000,19121,1,1968,K-12 School,101115,1984614,3330865,Not Available,Not Available,87,47.3,90.6,982.7,376,,-75.15884175,39.9858377
1969209.6,182,2201-51 N 28TH ST,Wright,784615800,19132,1,1905,K-12 School,82000,1805688.7,3330866,Not Available,Not Available,56,46,94.4,1049.1,311.7,,-75.17773468,39.98988034
1033566.4,183,6714-28 LANSDOWNE AVE,Overbrook Education Center,783262225,19151,1,1915,K-12 School,55128,1210803.8,3330867,Not Available,Not Available,95,40.7,88.7,229.3,193.8,,-75.25446441,39.97412589
7771844.9,184,2118-34 W NORRIS ST,Douglas F,784321800,19121,1,1940,K-12 School,109651,2377434.9,3330868,Not Available,Not Available,22,92.6,142.5,2467.7,685.4,,-75.1696604,39.98408444
348834.4,185,2801-37 W GLENWOOD AVE,Gideon,784168800,19121,1,1952,K-12 School,67000,782038.2,3330869,2813681.9,Not Available,84,58.9,84.5,1957.5,317,,-75.18076615,39.98442589
2274672.7,186,1601-49 N 28TH ST,Kelley William,784611000,19121,1,1966,K-12 School,72000,1226277.6,3330870,Not Available,Not Available,24,48.6,86.7,564.3,261.4,,-75.18006555,39.98081603
5379580.5,187,1801-09 W OXFORD ST,Meade,782405200,19121,1,1937,K-12 School,94000,941852.2,3330871,Not Available,Not Available,58,67.2,91.6,1487.1,393.7,,-75.16486868,39.9787215
398433.9,188,2922 MEMPHIS ST,Jones,786324800,19134,1,1924,K-12 School,118000,2063601.1,3330873,6830310,Not Available,74,78.7,116.9,655.5,764.7,,-75.11286183,39.98627852
9718385,189,600 E THOMPSON ST,Penn Treaty,781401800,19125,1,1928,K-12 School,144000,2085669.6,3330875,Not Available,Not Available,45,82,116.3,4372.5,755.4,,-75.12714734,39.97273338
126207.8,190,243-57 E ALLEGHENY AVE,Stetson,786010400,19134,1,1917,K-12 School,140000,4562683.4,3330876,5753081.8,Not Available,12,74.6,144.8,1456.2,956.9,,-75.12561047,39.99893305
850950.1,191,528-44 N 13TH ST,Stoddart-Fleisher,781646000,19123,1,1926,K-12 School,108393,1581397.5,3330877,8943917.9,Not Available,39,105,137.4,1011,890.3,,-75.15987617,39.96298227
4145419.2,192,401-21 W LEHIGH AVE,deBurgos,786272100,19133,1,2002,K-12 School,131500,4624955.8,3330879,Not Available,Not Available,37,66.7,143.5,1722,750.6,,-75.13862743,39.99275163
210260.6,193,1829 E CLEARFIELD ST,Conwell,786072800,19134,1,1926,K-12 School,55600,653631.4,3330880,3943074.1,Not Available,85,86.5,112.5,390.1,378.7,,-75.11456473,39.99441126
84949.3,194,1720-58 N 12TH ST,Dunbar,781641600,19122,1,1932,K-12 School,53200,916447.5,3330883,3466973.9,Not Available,44,84,121.6,1782.8,366.9,,-75.15425126,39.97924159
13005091.1,41,3000 W SCHOOL HOUSE LA,William Penn Charter School,775533000,19144,6,1925,K-12 School,408325,11568761.3,1567464,Not Available,Not Available,72,79.7,162.1,1868.8,2017.5,,-75.18590139,40.02236658
266801.1,42,200-32 S 40TH ST,Hamilton Village,882937900,19104,1,1974,Mixed Use Property,82452,9947348.2,1585726,Not Available,Not Available,Not Available,123.9,382.2,7353.3,1154.9,,-75.2032069,39.95351107
940278.1,43,1301-25 CHESTNUT ST,The Wanamaker Building,882497505,19107,1,1902,Office,1706638,64326538.4,1619606,Not Available,13679269.7,86,56.8,157.9,26564.6,8335.2,,-75.16216735,39.9513827
4893563.5,44,1601 JOHN F KENNEDY BLV,One Penn Center,883339500,19103,1,1929,Office,710000,35145476.6,1637817,Not Available,Not Available,89,56.4,162.7,11121,4290.4,,-75.1673734,39.95418947
Not Available,45,1600 JOHN F KENNEDY BLV,Four Penn Center,883056000,19103,1,1964,Office,543134,25972925.3,1650661,Not Available,14886279,82,75.2,183.1,4725.6,8810.4,,-75.16726787,39.95356426
Not Available,46,1500-42 MARKET ST,Centre Square - 1500 Market Street,883320000,19102,1,1974,Office,2261321.5,132069580.6,1750694,Not Available,38700765.8,66,83.1,224.5,31251.4,17715.4,,-75.1661523,39.952172
135218.9,47,1735 MARKET ST,"1735 MARKET STREET - OFFICE, Site # 602850",883053525,19103,1,1990,Office,1503469,82922552.5,1750728,Not Available,1373546.8,77,59.7,185.5,20516.8,9607.9,,-75.16942011,39.95362999
11350079.9,48,1600-22 MARKET ST,"1600 MARKET STREET, Site #602760",883031500,19103,1,1983,Office,921746,40260712.9,1750750,Not Available,Not Available,85,56.6,151.6,10727.1,5219.9,,-75.16738887,39.95247564
3208855.2,49,1701 JOHN F KENNEDY BLV,L61864 - 1701 JFK Blvd,883056605,19103,1,2008,Office,1538959,106777072.8,1767519,Not Available,21467145.9,85,85.4,236.8,32463.8,13841,,-75.16861605,39.95478702
2507979.2,50,4015 WALNUT ST,4015 Walnut Street,773579000,19104,1,1925,Non-Refrigerated Warehouse,63316,1634038.2,1799464,Not Available,Not Available,Not Available,65.4,122.6,449.1,320.6,,-75.2033692,39.95462712
Not Available,51,1650 MARKET ST,One Liberty Place,883031676,19103,1,1987,Office,1335092,78890080.3,1840857,Not Available,Not Available,76,59.2,185.7,9392,9059.3,,-75.16808522,39.95256027
6770955.2,52,1200 MARKET ST,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,735000,36962400.7,1946616,Not Available,18611608.6,46,95.9,223.9,22428.6,5834.3,,-75.16031548,39.95141221
31348.9,53,3 CRESCENT DR,L02152 - Three Crescent Drive,883812800,19112,1,2008,Office,199600,9754546.3,1960820,Not Available,Not Available,28,102.1,320.1,2988,1120.3,,-75.17352135,39.89507894
7440829.2,54,2900 ISLAND AVE,Shop Rite of Island Avenue,882090000,19153,1,1995,Supermarket/Grocery Store,59502,11389051.3,1973980,Not Available,Not Available,57,316.5,732.3,1361.2,1701.3,,-75.2416347,39.90242979
6718386.1,55,6901 RIDGE AVE,Shop Rite of Roxborough,882117000,19128,1,1990,Supermarket/Grocery Store,54844,9330318.7,1973983,Not Available,Not Available,83,292.6,662.8,965.8,1426.8,,-75.22748823,40.04397768
8405342.7,56,1575 N 52ND ST,Shop Rite of Parkside Plaza,882920300,19131,1,2008,Supermarket/Grocery Store,68325,10162723.9,1973985,Not Available,Not Available,69,271.8,596.2,2335.5,1611.9,,-75.22409192,39.97868367
1799287.7,57,2900 BLACK LAKE PL,Elliott-Lewis Corporate HQ,884292573,19154,1,2000,Non-Refrigerated Warehouse,124000,2591100.8,2215089,Not Available,Not Available,42,70.8,161.7,231.2,392.7,,-74.98309186,40.10661068
Not Available,58,3301 Aramingo Avenue,7198,882125300,19134,1,1978,Retail Store,65264,2834447.3,2344443,Not Available,Not Available,77,43.4,136.4,376,325.1,,-75.10207461,39.98965464
496900,59,7101 E ROOSEVELT BLV,3527,882074000,19149,1,1980,Retail Store,70110,2831264,2344541,Not Available,Not Available,80,47.5,134.2,328,351.1,,-75.05599512,40.04111072
Not Available,60,1234 MARKET ST,SEPTA Headquarters,883309050,19107,1,1973,Office,801840,65055000.4,2363717,Not Available,12768754.9,71,109,307.5,15054.5,8308.3,,-75.16097658,39.95166166
8626584,61,400 ARCH ST,Wyndham - Philadelphia Historic District,883711100,19106,1,1970,Hotel,349688,11370479.8,2384734,Not Available,Not Available,71,83.8,187.5,6977.6,1762.2,,-75.14736766,39.95189207
2995967.4,62,5000 WISSAHICKON AVE,PA0000AT - WISSAHICKON FED BLDG,784484000,19144,1,1998,Office,449021,43712640.1,2474727,76452,Not Available,49,104.2,303.9,9753.6,5050.7,,-75.17569102,40.0188008
42916365.2,63,5301 CEDAR AVE,Mercy Philadelphia Hospital,774005000,19143,1,1918,Hospital (General Medical & Surgical),613550,32282453.8,2492942,0,Not Available,100,122.8,238.9,18674.4,5992.1,,-75.22954168,39.95179267
1299014.8,64,3615-35 CHESTNUT ST,Ralston House,773685500,19104,1,1887,Office,71686,1478138.8,2528934,Not Available,Not Available,Not Available,38.7,83.8,Not Available,238.5,,-75.19552262,39.95520765
Not Available,65,352 N 16TH ST,1600 Callowhill,883065100,19130,1,1920,Office,88717,4468484.9,2555977,Not Available,Not Available,55,50.4,158.2,1102.2,512.4,,-75.16575153,39.95982441
978055.4,66,801-49 PINE ST,Pennsylvania Hospital,771002000,19104,9,1756,Hospital (General Medical & Surgical),873226,101764913.1,2561862,Not Available,114218813.6,37,248.5,524.5,85039.9,19306.3,,-75.15570798,39.94511291
225000,67,101 N INDEPENDENCE E ML,140399 Plaza,883014510,19106,1,1972,Office,601165,52660569.2,2669173,Not Available,23523053.8,65,144.1,363.4,14656,7668.9,,-75.14797144,39.95084832
30700782.7,68,1934 JOHNSTON ST,Southern Depot,875106040,19145,1,1924,Other - Public Services,217000,7832587.2,2704868,289800,Not Available,Not Available,178.9,263.2,8441,2550.4,,-75.18065163,39.91526665
20301989.8,69,6000 N PENN ST,Comly Depot,875106460,19149,1,1921,Other - Public Services,105000,5017687.2,2705460,0,Not Available,Not Available,241.1,353.1,3916.1,1653.8,,-75.07418349,40.03099101
23786538.6,70,5801 VINE ST,Callowhill Depot,875104330,19151,1,1913,Other - Public Services,213000,8580600,2705476,Not Available,Not Available,Not Available,152,243.8,5211.7,2247.4,,-75.23667029,39.9669825
2138802.4,71,3400 SPRUCE ST,Hospital of the University of Pennsylvania,773009000,19104,9,1913,Hospital (General Medical & Surgical),1791804,266653088.6,2848103,Not Available,282634740.4,7,307.7,658.3,122094.9,49459.8,,-75.19409241,39.95001362
Not Available,72,3400 CIVIC CENTER BLV,Center for advance medicine,773740100,19104,3,2005,Mixed Use Property,1761582,246424978.4,2848414,Not Available,154277497.2,Not Available,274.8,657.1,123680.3,38555.4,,-75.19252698,39.9475935
1379240.5,73,1224-34 SPRUCE ST,Spruce Residence Hall,881505710,19107,1,1922,Residence Hall/Dormitory,79412,3870948.1,2849421,Not Available,Not Available,Not Available,66.1,171.3,5830.4,517.2,,-75.16238188,39.94645091
2054652.8,74,311 S JUNIPER ST,Juniper Residence Hall,881015550,19107,1,1923,Residence Hall/Dormitory,79233,3599902.3,2851085,Not Available,Not Available,50,71.4,169.9,5918.6,522,,-75.16333758,39.94615665
3794547.6,75,401-11 S BROAD ST,Gershman Hall,771637200,19147,1,1923,College/University,75000,2698330,2851911,Not Available,Not Available,Not Available,86.6,166.1,942.1,511,,-75.16468119,39.94524061
883736.4,76,1500-02 PINE ST,Pine Residence Hall,881529980,19102,1,1920,Residence Hall/Dormitory,53577,2772246.2,2858164,Not Available,Not Available,Not Available,68.2,179.8,4347.8,364.9,,-75.16699137,39.945543
2578639.2,77,329-35 S BROAD ST,Anderson Hall,771500000,19102,1,1916,College/University,138123,5149769.1,2858208,Not Available,Not Available,Not Available,56,136.7,798.5,727.5,,-75.16453529,39.94587927
2452496.5,78,250 S BROAD ST,Merriam Theater,772505500,19102,1,1918,College/University,77964,4212021.9,2858581,Not Available,Not Available,Not Available,85.5,202.7,5720.5,613.3,,-75.16521282,39.9476471
89915572.5,79,3800 POWELTON AVE,Penn Presbyterian Medical Center,774002001,19104,10,1922,Hospital (General Medical & Surgical),1143882,105708332.1,2867268,Not Available,9287821.8,55,199.4,425.6,59522.3,17515.1,,-75.19925346,39.95849122
480819.4,80,201-11 S BROAD ST,Terra Hall,772505410,19107,1,1911,College/University,273901,12713818.3,2917145,Not Available,13891857.3,Not Available,98.9,208.6,6684.4,2406,,-75.16395677,39.94902933
5096868.1,81,4499 S BROAD ST,LT02184 - Five Crescent Drive,788010015,19112,1,2013,Office,682705,10676182.1,2933141,Not Available,Not Available,93,73.3,180.8,3827.8,1495.1,,-75.16930745,39.89276499
685310.3,172,5700 LANCASTER AVE,Overbrook HS,783258200,19131,1,1926,K-12 School,323316,2213263.1,3330846,16851594.1,Not Available,98,61.1,76.4,1690.2,1540.8,,-75.238183,39.98104644
883648.8,173,3133 RIDGE AVE,Strawberry Mansion & Hill,784374200,19132,1,1964,K-12 School,249000,3479069.7,3330851,16754855.9,Not Available,76,84.8,115.6,6266.4,1689.3,,-75.18402465,39.99074372
11151341.2,174,2900 W CLEARFIELD ST,Rhodes EW,784063000,19132,1,1972,K-12 School,180000,4185357.1,3330852,Not Available,Not Available,9,85.2,138.1,2207.4,1072.3,,-75.17820048,40.00239888
3265501.3,175,5600-54 VINE ST,Daroff,783541800,19139,1,1972,K-12 School,85080,3046643,3330853,Not Available,Not Available,55,74.2,152.7,1299.1,522.8,,-75.23296429,39.96503665
157119.7,176,6523-43 LANSDOWNE AVE,Cassidy,783262200,19151,1,1924,K-12 School,59123,737566.2,3330855,3823428,Not Available,44,79.8,107.3,759.9,376.7,,-75.25077444,39.97551874
2716299.6,177,5304-46 LANCASTER AVE,Heston,783257800,19131,1,1971,K-12 School,81640,2404231.7,3330857,Not Available,Not Available,39,62.7,127.4,1046.4,420,,-75.22928385,39.97777919
72471.5,178,3400 N 15TH ST,Kenderton,785657200,19140,1,1962,K-12 School,91008,1547566.2,3330858,3740075.7,Not Available,68,58.9,95.7,662.9,458.9,,-75.15414182,40.00554928
29184.4,108,8901 ALICIA ST,Greenberg,786010200,19115,1,1965,K-12 School,90000,1574449,3330724,2530091.8,Not Available,93,45.9,83.7,651.3,369.9,,-75.05693849,40.0954652
3162533.8,109,11000 BUSTLETON AVE,Loesche,786056400,19116,1,1967,K-12 School,88000,1544314.2,3330725,Not Available,Not Available,69,53.5,92.8,1036.5,345.1,,-75.02337188,40.114347
6130010.1,110,4901-31 CHESTNUT ST,West Philadelphia New,783094900,19139,1,2011,K-12 School,170013,2968202.5,3330726,930672.2,Not Available,80,59,98.2,2411.8,735.1,,-75.21998104,39.95865961
19406867.7,111,2100-50 W LEHIGH AVE,Dobbins CTE,785314800,19132,1,1938,K-12 School,312395,3673816.4,3330734,Not Available,Not Available,89,73.9,102.2,3910.9,1452.1,,-75.16686813,39.9948585
251221.7,112,2400-56 DIAMOND ST,Dick,784108400,19121,1,1954,K-12 School,71000,1078137.4,3330735,4061753.7,Not Available,34,75.9,109.2,1007.4,438.4,,-75.17356755,39.98629679
204915.8,113,2400 N 57TH ST,Gompers,783766600,19131,1,1949,K-12 School,56000,1056373.6,3330736,5121455.9,Not Available,28,114,155.4,33.5,512.1,,-75.2382121,39.99280181
17997599.5,114,3116 FRANKFORD AVE,Mastbaum CTE,786145800,19134,1,1929,K-12 School,221000,4221561.8,3330738,Not Available,Not Available,45,100.5,145.5,1086,1440.1,,-75.11234991,39.99285815
2781229.4,115,7100 HENRY AVE,Saul CTE,784190100,19128,1,1980,K-12 School,104018,3059511.1,3330742,3454554.1,Not Available,49,89.4,154,2238.9,754.9,,-75.22324749,40.04905054
4034080.1,195,2118-60 N 13TH ST,Elverson Military,781654210,19122,1,1930,K-12 School,74557,905923.2,3330885,Not Available,Not Available,42,66.3,95,285.8,318.2,,-75.15459731,39.98537433
253217.5,196,2000-46 N 07TH ST,Ferguson,781551800,19122,1,1922,K-12 School,99864,1092549.7,3330887,3465455.7,Not Available,81,48.2,72.1,622.5,395.9,,-75.14627714,39.98246704
1777639.4,197,2143-75 E YORK ST,Hackett,786594000,19125,1,1969,K-12 School,108550,2330474.1,3330888,Not Available,Not Available,72,37.8,84.6,554.7,361.7,,-75.12650209,39.98115915
2722810.7,198,2429-65 N 08TH ST,Hartranft,785575000,19133,1,1968,K-12 School,85000,2702596.4,3330890,Not Available,Not Available,29,63.8,133.5,394.6,454.6,,-75.14525033,39.98905118
5965811.3,199,1323-45 N 06TH ST,Ludlow,781497200,19122,1,1927,K-12 School,70230,759073.4,3330891,Not Available,Not Available,15,95.8,123.1,2215.4,403.9,,-75.14578727,39.97240116
2862968.2,200,412-30 W SUSQUEHANNA AVE,McKinley,786525600,19122,1,1970,K-12 School,74314,1779309.2,3330892,Not Available,Not Available,52,62.5,115.6,1082.6,356.1,,-75.14110934,39.98350492
5146860.5,201,3001-65 N 06TH ST,Potter-Thomas,786687200,19133,1,1969,K-12 School,79933,1706274.7,3330894,Not Available,Not Available,61,85.7,134.6,2642.3,469,,-75.14035167,39.99757735
2956632.5,202,2331-57 N 04TH ST,Welsh,786646000,19133,1,1966,K-12 School,71000,1277218.7,3330897,Not Available,Not Available,58,59.6,100.2,948.3,303.5,,-75.13920059,39.98668291
217212.3,203,3400 N HOWARD ST,Cramp,786211400,19140,1,1970,K-12 School,80088,4266456.9,3330902,Not Available,Not Available,32,56,170.1,726.1,500.8,,-75.12996909,40.00256883
4918524.5,204,601-19 FAIRMOUNT AVE,Kearny,781088800,19123,1,1922,K-12 School,61678,1368175.2,3330903,Not Available,Not Available,3,101.9,153.4,414.6,418.1,,-75.14811231,39.96413867
2179314.7,205,5118-50 N 06TH ST,Marshall T,786687225,19120,1,1997,K-12 School,114000,2791512.8,3330905,Not Available,Not Available,86,43.6,97,1257.4,435.9,,-75.13462885,40.0301784
2994004.9,206,800 E ONTARIO ST,Sheridan,786350400,19134,1,1900,K-12 School,64767,747076.8,3330906,Not Available,Not Available,63,57.8,84.8,846.1,244.7,,-75.11425969,39.99949194
389073.5,207,3400-42 FRANKFORD AVE,Webster,786146001,19134,1,1968,K-12 School,92275,2287632.4,3330908,3250728.2,Not Available,43,64.2,117.9,3303.3,524.2,,-75.10519672,39.99624244
3452074.5,208,3302-64 N 03RD ST,Munoz Marin,786636550,19140,1,1997,K-12 School,119250,4212670.2,3330910,Not Available,Not Available,31,64.3,141.3,677.5,666.5,,-75.13559827,40.0019738
3672074.9,209,2400 N FRONT ST,Hunter,786154910,19133,1,2004,K-12 School,98500,4404755.5,3330911,Not Available,Not Available,25,82,179.6,4807.7,700.2,,-75.13224874,39.98712968
15770212.3,210,1700 W OLNEY AVE,Central HS,785373600,19141,1,1939,K-12 School,212097,4624757.9,3330912,Not Available,Not Available,49,96.2,146.5,2618.5,1368,,-75.15073281,40.03732696
11529459.7,211,6400 RIDGE AVE,Roxborough HS,784378200,19128,1,1924,K-12 School,240000,3373356.7,3330913,Not Available,Not Available,92,62.1,94.6,1664.1,999.2,,-75.22300347,40.03731643
17894527.8,212,6000 STENTON AVE,King HS,784421900,19138,1,1972,K-12 School,370000,14895089.4,3330914,Not Available,Not Available,44,88.6,177.2,3547,2658.6,,-75.16179034,40.05577138
