Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
5587/004B,2160-2196 Palou Ave,2160 Palou Ave,94124,44311,,,Violation - Did Not Report,,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2012-11-15T00:00:00,,,,,,,,,,99,11.4,27.5,-77.9,-77.9,32.5,0.8,13.1,29.3,99,10.6,25.3,-79.6,-79.6,33.1,0.8,11.3,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0743/001,799 VAN NESS AVE,799 VAN NESS AVE,94102,42976,,"799 VAN NESS AVE
SAN FRANCISCO, CA 94102
(37.782627, -122.420857)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0743/001,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060/001,890 TENNESSEE ST,888 TENNESSEE ST,94107,38520,,"888 TENNESSEE ST
SAN FRANCISCO, CA 94107
(37.760791, -122.389513)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4060/001,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0267/004,The Shell Building,100 BUSH ST,94104,268132,Office,"100 BUSH ST
SAN FRANCISCO, CA 94104
(37.79128, -122.39995)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0267/004,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Exempt - ENERGY STAR,2012-11-15T00:00:00,,,,,,,,,,98,25.3,79.4,-61.9,-61.9,474.7,1.9,25.3,79.4,97,28.6,89.9,-59,-59,532.5,2.3,28.6,89.9,94,33.9,106.5,-51.8,-51.8,606,2.8,33.9,106.5,91,44.3,122.3,-45.7,-45.7,742,3.4,44.2,121.5,,,,,,,,,,95,43.3,,-52.4,,898.47,,41.5,
3707/008,58 2nd Street,60 2ND ST,94105,15900,Other,"60 2ND ST
SAN FRANCISCO, CA 94105
(37.788535, -122.400461)",Complied,,http://propertymap.sfplanning.org/?&search=3707/008,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,51.8,109.9,-10.7,-10.7,53.3,3.4,51.8,109.9,,115.7,186.8,51.7,51.7,114.4,7.2,115.7,186.8,,129.9,207.8,68.8,68.8,125.1,7.9,129.9,207.8,,136.6,216.3,75.6,75.6,131.1,8.2,136.6,216.3,,110.8,191,55.2,55.2,113.2,7.1,110.8,191,,,,,,,,,,,,,,,,,,
0738/019,Bay Area Air Quality Management District,939 ELLIS ST,94109,80700,Office,"939 ELLIS ST
SAN FRANCISCO, CA 94109
(37.78372, -122.421807)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=0738/019,Exempt,Vacancy,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,30,101,263,24,24,605,7.5,100.4,261.3,27,105.5,268.6,28.4,28.4,625.4,7.7,105.5,268.6,32,99.2,258,20.8,20.8,631.8,7.8,99.3,258.2,26,113.1,280.3,30,,701.6,,113.1,280.3,27,113.2,,28.5,,719.94,,113.2,
0307/001,Westin St. Francis Hotel,335 POWELL ST,94102,1471800,Hotel,"335 POWELL ST
SAN FRANCISCO, CA 94102
(37.787851, -122.40834)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=0307/001,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,75,62.6,124.6,-22.1,-22.1,6305.6,4.5,62.6,124.6,65,65.4,120.9,-13.4,-13.4,6488.5,4.6,65.4,120.9,24,87.1,186.1,26.4,26.4,10619.2,7.6,87.1,186.1,1,43863.1,52877.8,29298.9,,5453559.8,,43863.1,52877.8,1,48410.9,,37084,,5362506.36,,48410.9,
5318/046,2065 Oakdale Ave,2065 Oakdale Ave,94124,55695,,"2065 Oakdale Ave
SAN FRANCISCO, CA 94124
(37.739558, -122.39905)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=5318/046,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696/036,992 PERALTA AVE,992 PERALTA AVE,94110,10678,,"992 PERALTA AVE
SAN FRANCISCO, CA 94110
(37.737302, -122.409084)",Exempt,Exempt - Demolition,http://propertymap.sfplanning.org/?&search=5696/036,Exempt,Exempt - Demolition,Exempt,Exempt - Demolition,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Exempt - Demolition,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4812/037,1250 VAN DYKE AVE,1250 VAN DYKE AVE,94124,20500,,"1250 VAN DYKE AVE
SAN FRANCISCO, CA 94124
(37.725351, -122.385715)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4812/037,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202/002J,616 DIVISADERO ST,616 DIVISADERO ST,94117,30108,,"616 DIVISADERO ST
SAN FRANCISCO, CA 94117
(37.77527, -122.437816)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=1202/002J,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2020-04-01T00:00:00,Exempt - Temporary,2017-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/030,275 5TH ST,275 5TH ST,94103,28000,Office,"275 5TH ST
SAN FRANCISCO, CA 94103
(37.780577, -122.403786)",Complied,,http://propertymap.sfplanning.org/?&search=3733/030,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,76,46.2,110.2,-23.5,-23.5,56.2,3.1,48.3,112.4,78,44.2,105.8,-25.5,-25.5,59.5,3.3,50.4,115.7,100,20.5,40.3,-69.9,-69.9,17.2,0.6,,,100,10.3,10.8,-91.8,-91.8,15.3,0.5,13.7,14.4,100,30.3,31.8,-77,-77,45.1,1.6,28.4,29.8,,,,,,,,,,,,,,,,,,
3926/001,2600 16TH ST,2600 16TH ST,94103,33000,,"2600 16TH ST
SAN FRANCISCO, CA 94103
(37.765474, -122.412753)",Exempt,New Construction,http://propertymap.sfplanning.org/?&search=3926/001,Exempt,,Exempt,Exempt - New Construction,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3755/023,1144 HARRISON ST,1144 HARRISON ST,94103,148429,,"1144 HARRISON ST
SAN FRANCISCO, CA 94103
(37.774635, -122.407429)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3755/023,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970/004,1890 Bryant St,1890 Bryant St,94110,100000,,"1890 BRYANT ST
SAN FRANCISCO, CA 94110
(37.763338, -122.410266)",Complied,,http://propertymap.sfplanning.org/?&search=3970/004,Exempt,,,,,,,,,,,,,,Upcoming,2021-04-01T00:00:00,,,,12,36.8,-70.1,-70.1,90,0.9,12,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703/012,527 STEVENSON ST,527 STEVENSON ST,94103,42600,,"527 STEVENSON ST
SAN FRANCISCO, CA 94103
(37.781207, -122.410416)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3703/012,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0135/008,1050 Sansome Street,1050 SANSOME ST,94111,35000,Office,"1050 SANSOME ST
SAN FRANCISCO, CA 94111
(37.799863, -122.402519)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0135/008,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Complied,,Upcoming,2018-04-01T00:00:00,,,,,,,,,,,,,32.8,102.8,-30.5,-30.5,99.5,2.8,33.2,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145/003,2130 FULTON ST,2130 FULTON ST,94117,1022782,,"2130 FULTON ST
SAN FRANCISCO, CA 94117
(37.775396, -122.449725)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=1145/003,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Pending - Submitted,2015-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4171/020,1250 TENNESSEE ST,1250 TENNESSEE ST,94107,45570,,"1250 TENNESSEE ST
SAN FRANCISCO, CA 94107
(37.755841, -122.389065)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4171/020,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295/038B,City Sports Club,3201 20TH AVE,94132,47821,,"3201 20TH AVE
SAN FRANCISCO, CA 94132
(37.729532, -122.475982)",Complied,,http://propertymap.sfplanning.org/?&search=7295/038,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,,,Did Not Comply,2014-04-01T00:00:00,,129.8,275.5,184.6,184.6,402.1,8.4,129.8,275.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3956/004,Winton Properties,383 RHODE ISLAND ST,94103,27667,Office,"383 RHODE ISLAND ST
SAN FRANCISCO, CA 94103
(37.764972, -122.402612)",Complied,,http://propertymap.sfplanning.org/?&search=3956/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2014-04-01T00:00:00,100,20.3,54.7,-69.2,-69.2,34.1,1.4,21.5,55.9,98,22.9,65.7,-62.6,-62.6,44.7,1.9,24.1,66.3,100,19.6,54.9,-68.7,-68.7,35.7,1.5,19.6,54,100,18.4,49.9,-71.2,-71.2,33,1.4,18.4,49.9,100,21.6,53.4,-70.4,-70.4,37,1.6,20.7,52.4,,,,,,,,,,,,,,,,,,
3763/007,490 2ND ST,490 2ND ST,94107,39318,Office,"490 2ND ST
SAN FRANCISCO, CA 94107
(37.783235, -122.393833)",Complied,,http://propertymap.sfplanning.org/?&search=3763/007,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,97,29.5,75.6,-60,-60,80.7,2.1,31.1,77.3,,,,,,,,,,99,24.4,66,,,72.6,1.8,25.1,66.7,93,32.1,92.9,-50.1,-50.1,98.7,2.5,33.8,94.6,95,31.6,86.4,-54.6,-54.6,94.4,2.4,31.8,86.6,97,29.3,78.4,-59.3,-59.3,86.7,2.2,,,,,,,,,,,
3710/018,50 Beale,50 BEALE ST,94105,747573,Office,"50 BEALE ST
SAN FRANCISCO, CA 94105
(37.791446, -122.396203)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3710/018,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2019-04-01T00:00:00,Exempt - LEED EBOM,2014-04-01T00:00:00,,,,,,,,,,98,35.6,100.9,-61.6,-61.6,2117.6,2.9,37,102.4,97,35.8,101.8,-58.9,-58.9,2017.7,2.8,35.8,101.8,,,,,,,,,,90,55,134.8,-46,-45.9,3054.2,4.2,55.1,134.9,90,55.7,137.8,-45.1,-45.1,3109.6,4.3,,,94,38.4,,-51.2,,2533.53,,38.4,
4044/013,777 TENNESSEE ST,777 TENNESSEE ST,94107,11424,,"777 TENNESSEE ST
SAN FRANCISCO, CA 94107
(37.761991, -122.389625)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4044/013,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0163/008A,560 PACIFIC AVE,560 PACIFIC AVE,94133,22000,Office,"560 PACIFIC AVE
SAN FRANCISCO, CA 94133
(37.797185, -122.404632)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0163/008A,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,92,32.5,91.2,-48.4,-48.4,58.2,2.6,32.6,89.9,93,32.3,90.1,-50,-50,54.5,2.5,32.3,90.2,89,33.4,99,-44.2,-44.2,58.2,2.6,34.6,100.1,86,37.2,110.6,-39,-39.1,69.6,3.2,37,110.1,,,,,,,,,,,,,,,,,,
3574/048,Seven Tepees Youth Program,3175 17TH ST,94110,14000,Other - Education,"3175 17TH ST
SAN FRANCISCO, CA 94110
(37.763606, -122.416711)",Complied,,http://propertymap.sfplanning.org/?&search=3574/048,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,13.9,43.7,-69.1,-69.1,14.8,1.1,13.9,43.7,,14.1,44.1,-68.8,-68.8,14.9,1.1,14.1,44.1,,13.6,42.7,-69.8,-69.8,15.5,1.1,13.6,42.7,,10.1,31.8,-77.5,-77.5,11.6,0.8,10.1,31.8,,12.9,40.5,-71.3,-71.4,15.9,1.1,12.9,40.5,,,,,,,,,,,,,,,,,,
0270/037,R1005 CO 430 Bush,430 BUSH ST,94108,159383,,"430 BUSH ST
SAN FRANCISCO, CA 94108
(37.790656, -122.404832)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0270/037,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,,,Did Not Comply,2012-11-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,124.1,0.8,0.8,513.7,3.2,39.5,124.1,,,,,,,,,,,41.2,137.6,-41.1,,596.7,,41.2,137.6,,42.6,,12.1,,617.33,,42.6,
6635/055,Safeway 739,3350 MISSION ST,94110,67346,Supermarket/Grocery Store,"3350 MISSION ST
SAN FRANCISCO, CA 94110
(37.743283, -122.421372)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=6635/055,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,15,339.4,777.5,28.5,28.5,802.5,24.8,339.4,777.5,24,292,723.4,19,19,685,21.2,292,723.4,36,252.5,656.8,9,9,606.1,18.7,252.5,656.8,23,335.7,750.8,19.9,19.9,751.9,23.2,337.4,756.4,37,263.8,680.4,8.6,8.6,630.7,19.5,267.5,703,26,288,,17.4,,726.02,,283.7,
0710/014,YMCA Buchanan,1530 BUCHANAN ST,94115,19400,Other,"1530 BUCHANAN ST
SAN FRANCISCO, CA 94115
(37.784137, -122.429536)",Complied,,http://propertymap.sfplanning.org/?&search=0710/014,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,24.8,54.3,-55.9,-55.9,31.5,1.6,25.5,55.1,,25.8,56,-54.5,-54.5,35.6,1.8,26.1,56.4,,23.2,54,-56.2,-56.2,31.7,1.6,23.6,54.4,,21.9,52.5,-57.4,-57.4,30.4,1.6,23.5,54.2,,25.5,57.5,-53.3,-53.3,34.4,1.8,24.9,56.9,,,,,,,,,,,,,,,,,,
3706/068,748 MISSION ST,748 MISSION ST,94103,29440,,"748 MISSION ST
SAN FRANCISCO, CA 94103
(37.785319, -122.403248)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3706/068,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0229/020,LeMeridien Hotel,333 BATTERY ST,94111,340000,Hotel,"333 BATTERY ST
SAN FRANCISCO, CA 94111
(37.794781, -122.400288)",Complied,,http://propertymap.sfplanning.org/?&search=0229/020,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,77,61.7,130.7,-24.1,-24.1,1358.5,4,62.9,131.3,72,63.5,134.7,-19.9,-19.9,1519.2,4.5,65,135.2,74,62.5,135.2,-21.5,-21.5,1450.7,4.3,62.7,134.5,69,63.5,139.6,-17.3,-17.3,1484.6,4.4,64.8,139.7,69,67.8,144.4,-17.1,-17.1,1562.2,4.6,67.7,144.3,71,67.3,152.2,-18.6,,1673.78,,67.2,153.2,,,,,,,,,
0022/012,580 NORTH POINT ST,580 NORTH POINT ST,94133,24022,,"580 NORTH POINT ST
SAN FRANCISCO, CA 94133
(37.806186, -122.416746)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0022/012,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571/014,240 SHOTWELL ST,240 SHOTWELL ST,94110,29154,Urgent Care/Clinic/Other Outpatient,"240 SHOTWELL ST
SAN FRANCISCO, CA 94110
(37.764748, -122.416345)",Complied,,http://propertymap.sfplanning.org/?&search=3571/014,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,51.1,144.6,-20.9,-20.9,108,3.7,51.9,145.4,,56.3,163.3,-10.6,-10.6,136.2,4.7,57.5,163.8,,58.9,168.5,,,133.5,4.6,58,165.6,,60.7,164.5,,,133.9,4.6,63.6,164.3,,72.5,174.7,,,151.3,5.2,70.7,174.5,,,,,,,,,,,,,,,,,,
3729/024,Ninth Street,271 9TH ST,94103,18050,Office,"271 9TH ST
SAN FRANCISCO, CA 94103
(37.774088, -122.412019)",Complied,,http://propertymap.sfplanning.org/?&search=3729/024,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,21,41.7,-71.8,-71.8,24,1.3,21.9,42.7,98,21.4,43.6,-65.2,-65.2,26.7,1.5,,,99,17.5,42.3,-68.4,-68.4,22.6,1.3,,,100,20.6,48.9,-73.7,-73.7,26.4,1.5,24.3,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
5584/001B,Apparel Triangle,20 APPAREL WAY,94124,34537,Non-Refrigerated Warehouse,,Violation - Did Not Report,,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,Complied,2012-11-15T00:00:00,,,,,,,,,,81,21.2,56.5,-42.6,-42.6,47.9,1.5,21.2,56.5,77,22.5,60.8,,,53.4,1.7,23,61.3,84,19.7,51.3,,,45.9,1.5,21.9,53.6,84,22.1,52.8,,,49.4,1.6,21.1,51.7,86,22.2,49,,,47.9,1.5,21.6,48.4,,,,,,,,,
0196/027,415 Jackson,405 JACKSON ST,94111,58607,Office,"405 JACKSON ST
SAN FRANCISCO, CA 94111
(37.796566, -122.402446)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0196/027,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,19.8,62.2,-58,-58,100.8,1.7,19.8,62.2,,21.9,68.8,,,104.8,1.8,21.2,66.6,,,,,,,,,,,22.7,71.3,-51.8,-51.8,108.5,1.9,22.7,71.3,,,,,,,,,,97,24.3,,-59,,129.54,,23.6,
0241/014,616 GRANT AVE,616 GRANT AVE,94108,13884,,"616 GRANT AVE
SAN FRANCISCO, CA 94108
(37.793055, -122.406061)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0241/014,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020/001,600 ALABAMA ST,600 ALABAMA ST,94110,12400,Veterinary Office,"600 ALABAMA ST
SAN FRANCISCO, CA 94110
(37.761481, -122.412015)",Complied,,http://propertymap.sfplanning.org/?&search=4020/001,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,78.9,207.2,13.4,13.4,68.7,5.5,80.1,207.4,,78.2,205,12.2,12.2,76,6.1,81.6,207.7,,77.7,203.3,11.3,11.3,71.7,5.8,79,202.9,,76.6,199.5,9.2,9.2,70.5,5.7,80,199.4,,85.7,219.6,20.2,20.2,78.3,6.3,84.6,220.8,,,,,,,,,,,,,,,,,,
