pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM00023246,0166_0033,23246,1747 Penn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1747 - 1755 PENNSYLVANIA AV NW,1747 PENNSYLVANIA AVENUE ASSOCIATES LP,2,1747 Pennsylvania Avenue NW,Washington,DC,20006,1970,Office,Office,219854,171801,60,74.3,74.3,233.2,233.2,1463.1,8.5,3602.3,3739305,,,,Whole Building,Whole Building,38.89969121,-77.04076714
PM04376418,2726_0812,4376418,6040 14th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,6040 14TH ST NW,VICTORY INVESTMENTS INC,4,6040 14th St NW,Washington,DC,20011,1949,Multifamily Housing,Multifamily Housing,63227,63224,78,58.6,60.7,91.6,92.9,252.7,4,5168.7,266968,27917.5629,,,Whole Building,Whole Building,38.96359693,-77.0338481
PM00025204,0116_0073,25204,1919 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1919 M ST NW,1919 M STREET ASSOCIATES LP,2,1919 M Street NW,Washington,DC,20036,1967,Office,Office,297005,269071,77,67,67,210.4,210.4,2068,7.7,4835.3,5285247,,,,Whole Building,Whole Building,38.90641907,-77.04457082
PM00025506,0699_0028,25506,80 M Street SE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,80 M ST SE,WELLS REIT II 80 M STREET LLC,6,80 M Street  SE,Washington,DC,20003,2001,Office,Office,384666,319955,87,63.9,65,182.4,183.5,2172.7,6.8,3969.8,5173673,27916.28591,,,Whole Building,Whole Building,38.8767314,-77.00629566
PM00027448,0085_0060,27448,The Millennium Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1909 K ST NW,NINA JO ASSOCIATES LLC,2,1909 K Street,Washington,DC,20006,1999,Office,Office,239437,242937,94,45.8,45.8,143.8,143.8,1276.1,5.3,3530.8,3261373,,,,Whole Building,Whole Building,38.90281745,-77.04408634
PM00029225,0321_0027,29225,555 12TH STREET,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,Data under review by DOEE,0555 12TH ST NW,555 12TH REIT LLC,2,555 12TH STREET NW,Washington,DC,20004,1994,Office,Office,795127,864085,,26.4,26.4,83,83,2618.8,3,7940.2,6692708,,,,Whole Building,Whole Building,38.89719561,-77.02758511
PM01029531,0457_0039,1029531,600 E Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,600 E ST NW,6TH & E ASSOCIATES LLC,2,600 E Street NW,Washington,DC,20004,1975,Office,Office,438018,356387,92,46,46,144.5,144.5,1880.4,5.3,4209.5,4805745,,,,Whole Building,,38.89578709,-77.02049174
PM01030273,0118_0029,1030273,1919 Penn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1916 I ST NW,1919 PENNSYLVANIA ASSOCIATES LLC,2,1919 Pennsylvania Ave. NW,Washington,DC,20006,1978,Office,Office,381951,265243,74,68.1,68.8,198.8,199.6,1954.3,7.4,6474,4734899,19122.83711,,,Whole Building,Whole Building,38.90118614,-77.04374594
PM01030284,0050_0086,1030284,1255 23rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1225 23RD ST NW,CAPITOL 50 ASSOCIATES,2,1255 23rd Street NW,Washington,DC,20037,1983,Office,Office,83314,358737,90,49.7,49.7,156,156,2044.4,5.7,3099,5224711,,,,Whole Building,Whole Building,38.90640247,-77.04978884
PM01030402,0042_0054,1030402,Amsterdam Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,2350 H ST NW,GEORGE WASHINGTON UNIVERSITY,2,2350 H St NW,Washington,DC,20052,1997,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562,73,67.2,69,141.9,143.8,734.9,5.7,6469.7,1296474,42852.85034,,,Whole Building,Whole Building,38.8993224,-77.05091838
PM04820587,3748_0052,4820587,,,,12/31/2016,Exempt from this year's disclosure,0300 - 0320 RIGGS RD NE,FORT TOTTEN NORTH LLC,,,Washington,DC,20011,2015,,,415004,,,,,,,,,,,,,,Whole Building,Whole Building,38.95706121,-77.00216861
PM01032878,0057_0055,1032878,Townhouse Row,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,607 23RD ST NW,GEORGE WASHINGTON UNIVERSITY,2,607 23rd St NW,Washington,DC,20052,2003,Residence Hall/Dormitory,Residence Hall/Dormitory,71224,69267,54,74,73.8,171.5,168.9,463.6,6.7,1538.9,910417.1,20210.60149,,,Whole Building,Whole Building,38.89785017,-77.0498593
PM01034322,0197_0853,1034322,American Chemical Society - Headquarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,2,1155 16th Street N.W.,Washington,DC,20036,1954,Office,Office,144462,115470,89,72.1,74.2,161,163.2,732.2,6.3,1618,1381409,36089.5224,,,Whole Building,,38.90536939,-77.03605573
PM01034332,0197_0854,1034332,American Chemical Society - 1550 Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1550 M ST NW,AMERICAN CHEMICAL SOCIETY,2,1550 M St. NW,Washington,DC,20036,1987,Office,Office,96839,85277,91,45.3,45.3,142.2,142.1,443,5.2,4953.8,1132063,,,,Whole Building,Whole Building,38.90536697,-77.03572636
PM01034459,0216_0034,1034459,1090 Vermont Avenue NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1090 VERMONT AVE NW,1090 VERMONT AVENUE NW ASSOCIATES LP,2,1090 Vermont Avenue NW,Washington,DC,20005,1982,Office,Office,229257,163045,86,61.9,61.1,194.3,191.8,1157.2,7.1,3206,2957358,,,,Whole Building,Whole Building,38.90342745,-77.0336524
PM01050505,0140_0089,1050505,1899 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1899 L ST NW,1899 L STREET TOWER LLC,2,1899 L St NW,Washington,DC,20036,1975,Office,Office,147460,159817,77,72.1,72.1,226.3,226.3,1321,8.3,4517.8,3375951,,,,Whole Building,,38.90417373,-77.04292909
DC37480052,3748_0052,N/A,,,,12/31/2016,Exempt from this year's disclosure,0300 - 0320 RIGGS RD NE,FORT TOTTEN NORTH LLC,,,Washington,DC,,2014,,,415004,,,,,,,,,,,,,,,,38.9570612,-77.0021686
PM01434327,0698_0032,1434327,20 M,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,20 M ST SE,SOUTHEAST REALTY LLC,6,20 M Street S.E.,Washington,DC,20036,2006,Office,Office,297720,196545,86,63.8,63.7,200.2,200.2,1436.9,7.3,3598.2,3672343,,,,Whole Building,Whole Building,38.87679625,-77.00790436
PM01056237,0138_0804,1056237,1300 Connecticut Avenue NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1300 CONNECTICUT AV NW,TRT 1300 CONNECTICUT AVE OWNER LLC,2,1300 Connecticut Avenue NW,Washington,DC,20036,1954,Office,Office,147560,134864,60,71.5,71.5,224.5,224.5,1105.6,8.2,2988.2,2825602,,,,Whole Building,Whole Building,38.90751862,-77.04267356
PM01061926,0162_0092,1061926,02217 - 1100 17th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2,1100 17th Street NW,Washington,DC,22209,1963,Office,Office,157120,151599,87,63.2,63.9,162.1,160.6,1005.9,6.6,2976,2034921,26393.56094,,,Whole Building,Whole Building,38.90417969,-77.03875448
PM01066315,0086_0845,1066315,900 19th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,Data under review by DOEE,0900 19TH ST NW,PRESIDENTIAL PLAZA LP,2,900 19th Street NW,Washington,DC,20006,1985,Office,Office,159565,102480,,23.5,23.5,73.9,73.9,276.7,2.7,1614.2,707212.8,,,,Whole Building,Whole Building,38.90164771,-77.0438698
PM01069662,0675_0853,1069662,999 North Capitol Street NE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,999 NORTH CAPITOL ST NE,UNION SQUARE 941 PROPERTY LP,6,999 North Capitol Street NE,Washington,DC,20002,1973,Office,Office,322375,321544,95,44,44.2,134.6,135.3,1588.6,4.9,3924.7,3988677,5245.909706,,,Whole Building,Whole Building,38.90202876,-77.0085478
PM01069664,0403_0839,1069664,0900 Seventh Street NW (IBEW),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,900 7TH ST NW,IBEW HEADQUARTERS BUILDING LLC,2,900 Seventh Street NW,Washington,DC,20005,2004,Office,Office,300218,318853,82,59.6,59.6,187.3,187.3,2180.7,6.8,7911.3,5573047,,,,Whole Building,Whole Building,38.90115602,-77.02227684
PM01070151,0285_0049,1070151,1200 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1200 K ST NW,1200 K ST I CO LLC,2,1200 K Street NW,Washington,DC,20005,1992,Office,Office,567863,429455,94,58.2,58.2,181.1,181.1,2846.1,6.6,4979.4,7228523,3324.931108,,,Whole Building,,38.90213258,-77.02864978
PM01071004,0218_0079,1071004,1400 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1400 K ST NW,TRIZECHAHN LLC - 1400 K STREET NW,2,1400 K Street NW,Washington,DC,20005,1982,Office,Office,292090,212651,92,46.5,45.9,146.2,144,1135.1,5.3,2166.2,2900934,,,,Whole Building,Whole Building,38.90218344,-77.03228197
PM01071476,0139_0816,1071476,1250 Conn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1250 CONNECTICUT AV NW,TRIZECHAHN 1250C/2401P LLC,2,1250 Connecticut Ave NW,Washington,DC,20036,1964,Office,Office,232204,195087,83,66.8,67.3,172.3,171.5,1279.4,6.6,4638.5,2794047,35042.85739,,,Whole Building,Whole Building,38.90709561,-77.04208511
PM01083462,0456_3068,1083462,Terrell Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,575 7TH ST NW,THE OFFICES @ TERRELL PLACE,2,575 7th Street NW,Washington,DC,20004,2003,Office,Office,455476,511302,83,57.6,58,176.7,177.7,3314.2,6.5,8685.2,8333908,10025.87935,,,Whole Building,Whole Building,38.8967283,-77.0215894
PM01127988,0159_0860,1127988,1717 Rhode Island - 2021,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1717 RHODE ISLAND AV,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,2,1717 Rhode Island Avenue NW,Washington,DC,20036,2004,Office,Office,157050,157050,65,70.7,70.7,221.9,221.9,1272.7,8.1,3756.3,3252633,,,,Whole Building,Whole Building,38.90670202,-77.03904769
PM01146829,0377_0044,1146829,Jemal's Atlantic,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,950 F ST NW,JEMAL'S ATLANTIC LLC,2,950 F Street NW,Washington,DC,20004,1887,Office,Office,297109,270818,,83.5,83.5,262.1,262.1,6776,25,8044.6,6625824,,,,Whole Building,Whole Building,38.89715142,-77.02527118
PM01159361,0107_0075,1159361,MAPS 1801 K Street LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1801 K ST NW,BLENHEIM DC I LLC,2,1801 K Street NW,Washington,DC,20006,1971,Office,Office,818524,620265,85,57.6,57.6,180.8,180.8,4095,6.6,10054.4,10465570,,,,Whole Building,Whole Building,38.90359497,-77.04201003
PM01163866,0008_0811,1163866,0600 New Hampshire Avenue NW (Watergate),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,600 New Hampshire Ave NW,Washington,DC,20037,1972,Office,Office,363050,274942,76,83.4,84.5,223,222.5,2363.2,8.6,5908,5104076,,,5512830.2,Whole Building,Whole Building,38.89781099,-77.05506721
PM01180478,0289_0830,1180478,0601 Thirteenth Street NW (Homer),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0601 13TH ST NW,S KANN SONS COMPANY,2,601 13th Street NW,Washington,DC,20005,1990,Office,Office,678600,604301,86,46,46,144.3,144.3,3184.8,5.3,5268,8139365,,,,Whole Building,Whole Building,38.89814115,-77.02926284
PM01180513,0287_0038,1180513,1200 New York Avenue NW (AAAS),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1200 NEW YORK AVE NW,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2,1200 New York Avenue NW,Washington,DC,20005,1996,Office,Office,263000,231089,84,60.9,61.7,168.8,168.8,1461,6.3,2625.2,3396223,24865.53615,,,Whole Building,Whole Building,38.90022132,-77.02844738
PM01184444,0494_0032,1184444,400 Virginia Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0400 VIRGINIA AV SW,400 VIRGINIA AVENUE LLC,6,400 Virginia Avenue SW,Washington,DC,20024,1986,Office,Office,304209,252289,88,50,50,157,157,1446.4,5.7,3479.2,3696424,,,,Whole Building,Whole Building,38.88424946,-77.01816764
PM01188995,0285_0048,1188995,1201 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1201 I ST NW,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2,1201 Eye Street NW,Washington,DC,20005,2002,Office,Office,274387,305868,83,51.4,51.4,161.5,161.5,1804.5,5.9,2625.1,4611740,,,,Whole Building,Whole Building,38.90163885,-77.02856162
PM01188996,0285_0047,1188996,1225 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1225 I ST NW,1225 EYE STREET NW ASSOCIATES LLC,2,1225 Eye Street NW,Washington,DC,20005,1988,Office,Office,310153,248131,80,58.7,58.7,184.3,184.3,1669.9,6.7,4379.1,4267783,,,,Whole Building,Whole Building,38.90165744,-77.02916215
PM01189000,0538_0873,1189000,One Independence Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,Data under review by DOEE,250 E ST SW,WELLS REIT-INDEPENDENCE SQUARE LLC,6,250 E. Street SW,Washington,DC,20024,1991,Office,Office,560163,378045,,37.2,37.2,116.9,116.9,1613.5,4.3,2986.6,4123569,,,,Whole Building,Whole Building,38.88300325,-77.0149237
PM01191010,0166_0032,1191010,1701 Pennsylvania Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1701 PENNSYLVANIA AV NW,ATLANTIC FREEHOLDS,2,1701 Pennsylvania Ave.,Washington,DC,20006,1962,Office,Office,263216,220603,90,53.4,53.6,141.1,140.1,1178.5,5.3,219624.8,2630718,28075.11412,,,Whole Building,Whole Building,38.89950761,-77.03977867
PM01192428,0457_0038,1192428,The Patrick Henry Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,601 D ST NW,LHL REALTY COMPANY DC LLC,2,601 D Street NW,Washington,DC,20004,1973,Office,Office,603712,541518,80,66.4,66.4,206.3,206.3,4089.1,7.6,9068.7,10369730,5648.97155,21169.2,,Whole Building,Whole Building,38.89507443,-77.02054111
PM01196655,0220_0066,1196655,City Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1401 H ST NW,TREA 1401 LLC,2,1401 H Street NW,Washington,DC,20005,1992,Office,Office,480132,374817,91,47,47,147.7,147.7,2021.4,5.4,3776.2,5166019,,,,Whole Building,Whole Building,38.90050099,-77.03242418
PM01205203,0184_0071,1205203,1667 K Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1667 K ST NW Unit: 900,JAMES CAMPBELL COMPANY LLC,2,1667 K Street NW,Washington,DC,20036,1984,Office,Office,257466,218345,80,57,56.6,169.4,168,1365.8,6.3,4344.8,3352734,10155.94072,,,Whole Building,Whole Building,38.90325523,-77.0381817
PM01241296,2049_0805,1241296,0383 Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,4301 CONNECTICUT AV NW,VAN NESS CENTER ASSOCITES LLC,3,4303 Connecticut Ave. NW,Washington,DC,20008,2001,Supermarket/Grocery Store,Supermarket/Grocery Store,239464,33360,18,299,300,751.3,747.3,959.6,28.8,880071.1,2045951,29950.58175,,,Whole Building,Whole Building,38.94493214,-77.06311116
PM01429585,2049_0805,1429585,Van Ness Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,4301 CONNECTICUT AV NW,VAN NESS CENTER ASSOCITES LLC,3,4301 Connecticut Avenue,Washington,DC,20008,1965,Office,Parking,239464,196599,,96.1,97.3,229.4,228.5,1747.4,8.9,5877.9,3542028,68059.99582,,,Whole Building,Whole Building,38.94493214,-77.06311116
PM01229423,0185_0829,1229423,Army Navy Club,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1627 I ST NW,WRIT ANC LLC,2,1627 I Street NW,Washington,DC,20006,1912,Office,Office,80599,118244,90,37.5,37.5,117.9,117.9,508.9,4.3,5242.2,1300692,,,,Whole Building,Whole Building,38.90172986,-77.03813748
PM01229780,0248_0069,1229780,1300 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1300 L ST NW,AMERICAN POSTAL WORKERS UNION HOLDING CORPORATION,2,1300 L Street NW,Washington,DC,20005,1986,Office,Office,117016,92054,49,86.1,86.1,251.2,251.2,857.1,9.3,1783.5,2075260,8496.14573,,,Whole Building,Whole Building,38.90352142,-77.02999206
PM01238339,0215_0013,1238339,1101 Vermont,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1101 VERMONT AVE NW,1101 VERMONT AVE INVESTORS LLC,2,1101 Vermont Ave N.W.,Washington,DC,20005,1982,Office,Office,208294,186367,79,66.1,66.1,186.4,184.8,1296.5,7,2973.2,3058980,18748.43148,,,Whole Building,Whole Building,38.90402712,-77.0324463
PM04355416,0672_0258,4355416,,,,12/31/2016,Exempt from this year's disclosure,2 M ST NE,2 M STREET REDEVELOPMENT LLC,6,,Washington,DC,20002,2002,,,350004,,,,,,,,,,,,,,Whole Building,Whole Building,38.905952,-77.008749
PM03200166,3894_0826,3200166,Providence Hospital - DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,Data under review by DOEE,1150 VARNUM ST NE,PROVIDENCE HOSPITAL,5,1150 Varnum Street N.E.,Washington,DC,20017,1956,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),627221,614191,31,305.9,305.9,511,511,13413.4,21.8,,16348190,1321014.688,,,Whole Building,Whole Building,38.94376381,-76.99157311
PM01242152,0322_0021,1242152,Evening Star Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1101 PENNSYLVANIA AVE NW,TC 1101 PENNSYLVANIA AVENUE OWNER LLC,2,1101 Pennsylvania Ave. NW.,Washington,DC,20004,1898,Office,Office,336271,244160,78,58.5,58.5,183.6,183.6,1637,6.7,6320.1,4183703,,,,Whole Building,Whole Building,38.89516346,-77.0274071
PM01242253,0183_0884; 0183_0883,1242253,NGS Headquarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1600 M ST NW,NATIONAL GEOGRAPHIC SOCIETY,2,1145 17th St NW and 1600 M Street NW,Washington,DC,20036,1964,Office,Office,398219,746237,83,81.3,81.8,207.4,207.9,5903.3,7.9,10305.2,12770280,170651.4879,,,Whole Building,Whole Building,38.90519711,-77.03815544
PM01244899,3854_0802,1244899,0375 Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1050 BRENTWOOD RD NE,1050 BRENTWOOD CAPITAL LP,5,1050 Brentwood Rd.,Washington,DC,20018,2001,Supermarket/Grocery Store,Supermarket/Grocery Store,53236,53045,65,223.8,225.7,569.6,569.2,1153.4,21.7,3784.2,2489315,33776.25927,,,Whole Building,Whole Building,38.91922981,-76.99243094
PM01253867,0386_0001,1253867,901 D Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,0901 D ST SW,CIM URBAN REIT PROPERTIES V LLC,6,901 D Street SW,Washington,DC,20024,1988,Office,Office,535757,422227,,42.7,42.3,124.1,121.6,1943,4.6,4380.4,4692592,20111.61792,,,Whole Building,Whole Building,38.88506002,-77.02474986
PM01257635,0316_0032,1257635,1100L,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1100 L ST NW,12TH & L STREET LTD PARTNERSHIP,2,1100 L Street NW,Washington,DC,20005,1972,Office,Office,474396,345116,83,64.6,65.7,177,178.2,2310.1,6.7,4780.1,5287512,35792.03982,688344,,Whole Building,,38.90355769,-77.02754935
PM01257638,0217_0050,1257638,1425K,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1425 K ST NW,BGW LP,2,1425 K Street NW,Washington,DC,20005,2000,Office,Office,231489,239478,84,60.1,60.1,188.7,188.7,1650,6.9,3065.7,4216893,,,,Whole Building,Whole Building,38.90291748,-77.03307377
PM01257639,0164_0035,1257639,Blake Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,2,1025 Connecticut Ave. NW,Washington,DC,20036,1962,Office,Office,466690,353236,87,63.8,65,163.2,164.5,2208.4,6.3,5951.6,4768183,57877.88453,475432.3,,Whole Building,Whole Building,38.90359373,-77.03933901
PM01257640,0161_0037,1257640,Bender Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1120 CONNECTICUT AV NW,JACK I BENDER & SONS,2,1120 Connecticut Ave. NW,Washington,DC,20036,1962,Office,Office,403277,369485,83,59.6,60.2,172.5,172.9,2411.2,6.5,6310.1,5706669,4725.882638,2064497.7,,Whole Building,Whole Building,38.90416531,-77.04098393
PM01257641,0161_0031,1257641,1111,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2016,In Compliance,1111 18TH ST NW,JACK I BENDER & SONS,2,1111 18th Street NW,Washington,DC,20036,2000,Office,Office,110099,75234,37,111.4,111.6,342.4,342.6,944.6,12.6,1719.7,2378060,2653.168605,,,Whole Building,Whole Building,38.904446,-77.04133332
